item_id,timestamp,target_value
115200,"1970-01-02",629.09998
374400,"1970-01-05",628.5
460800,"1970-01-06",622.40002
547200,"1970-01-07",623.40002
633600,"1970-01-08",623.79999
720000,"1970-01-09",618.70001
979200,"1970-01-12",612.90002
1065600,"1970-01-13",607.29999
1152000,"1970-01-14",602.09998
1238400,"1970-01-15",591.70001
1324800,"1970-01-16",581.79999
1584000,"1970-01-19",579.79999
1670400,"1970-01-20",580.79999
1756800,"1970-01-21",590.20001
1843200,"1970-01-22",592.90002
1929600,"1970-01-23",590.20001
2188800,"1970-01-26",590.79999
2275200,"1970-01-27",592.59998
2361600,"1970-01-28",593.29999
2448000,"1970-01-29",584.5
2534400,"1970-01-30",582.20001
2793600,"1970-02-02",574.59998
2880000,"1970-02-03",571.70001
2966400,"1970-02-04",576
3052800,"1970-02-05",576.20001
3139200,"1970-02-06",583.59998
3398400,"1970-02-09",585.5
3484800,"1970-02-10",585.5
3571200,"1970-02-11",581
3657600,"1970-02-12",582.5
3744000,"1970-02-13",580.40002
4003200,"1970-02-16",576.40002
4089600,"1970-02-17",576.40002
4176000,"1970-02-18",571.29999
4262400,"1970-02-19",576.5
4348800,"1970-02-20",576
4608000,"1970-02-23",577.40002
4694400,"1970-02-24",575.09998
4780800,"1970-02-25",569.79999
4867200,"1970-02-26",567.59998
4953600,"1970-02-27",564.5
5212800,"1970-03-02",558.59998
5299200,"1970-03-03",549.40002
5385600,"1970-03-04",553.40002
5472000,"1970-03-05",558.70001
5558400,"1970-03-06",561.29999
5817600,"1970-03-09",551
5904000,"1970-03-10",555.09998
5990400,"1970-03-11",560
6076800,"1970-03-12",568.5
6163200,"1970-03-13",575.29999
6422400,"1970-03-16",569.5
6508800,"1970-03-17",570.09998
6595200,"1970-03-18",569.40002
6681600,"1970-03-19",563.59998
6768000,"1970-03-20",560.90002
7027200,"1970-03-23",557.40002
7113600,"1970-03-24",559.20001
7200000,"1970-03-25",560.40002
7286400,"1970-03-26",567
7718400,"1970-03-31",572.70001
7804800,"1970-04-01",573.90002
7891200,"1970-04-02",574.59998
7977600,"1970-04-03",571.79999
8236800,"1970-04-06",572.79999
8323200,"1970-04-07",579.59998
8409600,"1970-04-08",582.70001
8496000,"1970-04-09",581.20001
8582400,"1970-04-10",580.5
8841600,"1970-04-13",575.90002
8928000,"1970-04-14",567.20001
9014400,"1970-04-15",574.5
9100800,"1970-04-16",571.09998
9187200,"1970-04-17",561.79999
9446400,"1970-04-20",562.29999
9532800,"1970-04-21",566.90002
9619200,"1970-04-22",562.20001
9705600,"1970-04-23",558.29999
9792000,"1970-04-24",550.90002
10051200,"1970-04-27",540.79999
10137600,"1970-04-28",532.59998
10224000,"1970-04-29",524.09998
10310400,"1970-04-30",532.90002
10656000,"1970-05-04",530.79999
10742400,"1970-05-05",532.70001
10828800,"1970-05-06",537.5
11001600,"1970-05-08",534.79999
11260800,"1970-05-11",527.29999
11347200,"1970-05-12",521
11433600,"1970-05-13",511
11520000,"1970-05-14",502.29999
11606400,"1970-05-15",494
11952000,"1970-05-19",491.20001
12038400,"1970-05-20",479.79999
12124800,"1970-05-21",467.79999
12211200,"1970-05-22",467.20001
12470400,"1970-05-25",459.70001
12556800,"1970-05-26",445.89999
12643200,"1970-05-27",444.60001
12816000,"1970-05-29",485.79999
13075200,"1970-06-01",473.79999
13161600,"1970-06-02",487.39999
13248000,"1970-06-03",494
13334400,"1970-06-04",498.20001
13420800,"1970-06-05",483.89999
13680000,"1970-06-08",481
13766400,"1970-06-09",485.79999
13852800,"1970-06-10",484.39999
13939200,"1970-06-11",490.39999
14025600,"1970-06-12",492.10001
14284800,"1970-06-15",489.79999
14371200,"1970-06-16",489.10001
14544000,"1970-06-18",483.70001
14630400,"1970-06-19",484
14889600,"1970-06-22",482.20001
14976000,"1970-06-23",476.5
15062400,"1970-06-24",467.70001
15148800,"1970-06-25",469.79999
15235200,"1970-06-26",471
15494400,"1970-06-29",464.79999
15580800,"1970-06-30",464.79999
15667200,"1970-07-01",466.20001
15753600,"1970-07-02",463.39999
15840000,"1970-07-03",461.60001
16099200,"1970-07-06",457.5
16185600,"1970-07-07",455.89999
16272000,"1970-07-08",469.89999
16358400,"1970-07-09",468.70001
16444800,"1970-07-10",474.10001
16704000,"1970-07-13",485.79999
16790400,"1970-07-14",481.5
16876800,"1970-07-15",479.60001
16963200,"1970-07-16",490.70001
17049600,"1970-07-17",484.79999
17308800,"1970-07-20",477.29999
17395200,"1970-07-21",473.60001
17481600,"1970-07-22",478
17568000,"1970-07-23",478.10001
17654400,"1970-07-24",484.70001
17913600,"1970-07-27",481.70001
18000000,"1970-07-28",482.39999
18086400,"1970-07-29",489.70001
18172800,"1970-07-30",490.60001
18259200,"1970-07-31",492.5
18518400,"1970-08-03",497.20001
18604800,"1970-08-04",494.70001
18691200,"1970-08-05",499.10001
18777600,"1970-08-06",502.79999
18864000,"1970-08-07",504.20001
19123200,"1970-08-10",509.5
19209600,"1970-08-11",508.20001
19296000,"1970-08-12",513.70001
19382400,"1970-08-13",509.89999
19728000,"1970-08-17",495.60001
19814400,"1970-08-18",497.79999
