ds,y
"2023-01-09 01:00:00",17121
"2023-01-09 01:05:00",17132.3
"2023-01-09 01:10:00",17160
"2023-01-09 01:15:00",17118.2
"2023-01-09 01:20:00",17107.1
"2023-01-09 01:25:00",17106.6
"2023-01-09 01:30:00",17127
"2023-01-09 01:35:00",17138.8
"2023-01-09 01:40:00",17143.9
"2023-01-09 01:45:00",17159.2
"2023-01-09 01:50:00",17144.1
"2023-01-09 01:55:00",17178.4
"2023-01-09 02:00:00",17166.7
"2023-01-09 02:05:00",17149.1
"2023-01-09 02:10:00",17151.1
"2023-01-09 02:15:00",17146.8
"2023-01-09 02:20:00",17150
"2023-01-09 02:25:00",17161.1
"2023-01-09 02:30:00",17144.7
"2023-01-09 02:35:00",17179.7
"2023-01-09 02:40:00",17173.1
"2023-01-09 02:45:00",17193.3
"2023-01-09 02:50:00",17182
"2023-01-09 02:55:00",17170.2
"2023-01-09 03:00:00",17157.1
"2023-01-09 03:05:00",17165
"2023-01-09 03:10:00",17198.3
"2023-01-09 03:15:00",17198.8
"2023-01-09 03:20:00",17202.5
"2023-01-09 03:25:00",17214.7
"2023-01-09 03:30:00",17205
"2023-01-09 03:35:00",17218.9
"2023-01-09 03:40:00",17226.2
"2023-01-09 03:45:00",17197.6
"2023-01-09 03:50:00",17186.8
"2023-01-09 03:55:00",17181.3
"2023-01-09 04:00:00",17179.3
"2023-01-09 04:05:00",17178
"2023-01-09 04:10:00",17176.6
"2023-01-09 04:15:00",17186.5
"2023-01-09 04:20:00",17181.2
"2023-01-09 04:25:00",17178.3
"2023-01-09 04:30:00",17193.1
"2023-01-09 04:35:00",17198.2
"2023-01-09 04:40:00",17203.6
"2023-01-09 04:45:00",17192.2
"2023-01-09 04:50:00",17190.5
"2023-01-09 04:55:00",17190
"2023-01-09 05:00:00",17194.3
"2023-01-09 05:05:00",17195.2
"2023-01-09 05:10:00",17193
"2023-01-09 05:15:00",17195.5
"2023-01-09 05:20:00",17208
"2023-01-09 05:25:00",17220.2
"2023-01-09 05:30:00",17229.9
"2023-01-09 05:35:00",17224.7
"2023-01-09 05:40:00",17229.3
"2023-01-09 05:45:00",17225.1
"2023-01-09 05:50:00",17216.9
"2023-01-09 05:55:00",17218.9
"2023-01-09 06:00:00",17215
"2023-01-09 06:05:00",17227
"2023-01-09 06:10:00",17224.2
"2023-01-09 06:15:00",17230.1
"2023-01-09 06:20:00",17231.9
"2023-01-09 06:25:00",17224.9
"2023-01-09 06:30:00",17223
"2023-01-09 06:35:00",17218.8
"2023-01-09 06:40:00",17208.4
"2023-01-09 06:45:00",17199.1
"2023-01-09 06:50:00",17209.9
"2023-01-09 06:55:00",17197.7
"2023-01-09 07:00:00",17199.7
"2023-01-09 07:05:00",17198.1
"2023-01-09 07:10:00",17190
"2023-01-09 07:15:00",17199.2
"2023-01-09 07:20:00",17198
"2023-01-09 07:25:00",17199.2
"2023-01-09 07:30:00",17202.8
"2023-01-09 07:35:00",17202.8
"2023-01-09 07:40:00",17193.1
