ds,y
"2021-01-12",34021.1
"2021-01-13",37355.7
"2021-01-14",39091.6
"2021-01-15",36737.6
"2021-01-16",35975
"2021-01-17",35818.3
"2021-01-18",36632.1
"2021-01-19",35839.9
"2021-01-20",35514.4
"2021-01-21",30844.2
"2021-01-22",32970.3
"2021-01-23",32096.9
"2021-01-24",32274.9
"2021-01-25",32256.8
"2021-01-26",32469.3
"2021-01-27",30389.5
"2021-01-28",33355.5
"2021-01-29",34244.5
"2021-01-30",34279.4
"2021-01-31",33135.5
"2021-02-01",33531
"2021-02-02",35508.9
"2021-02-03",37660.3
"2021-02-04",37031
"2021-02-05",38393.7
"2021-02-06",39303
"2021-02-07",38898.2
"2021-02-08",46362.8
"2021-02-09",46545.3
"2021-02-10",44884.2
"2021-02-11",48078.8
"2021-02-12",47451.2
"2021-02-13",47290
"2021-02-14",48704.2
"2021-02-15",47977
"2021-02-16",49264.1
"2021-02-17",52193.7
"2021-02-18",51645.4
"2021-02-19",56020.4
"2021-02-20",55960.4
"2021-02-21",57532.9
"2021-02-22",54218.3
"2021-02-23",48984.7
"2021-02-24",49784.7
"2021-02-25",47132.1
"2021-02-26",46325
"2021-02-27",46175.7
"2021-02-28",45211.3
"2021-03-01",49688.5
"2021-03-02",48513.5
"2021-03-03",50456.6
"2021-03-04",48418.1
"2021-03-05",48820.3
"2021-03-06",48938.7
"2021-03-07",51033.8
"2021-03-08",52466.1
"2021-03-09",54959.2
"2021-03-10",55950.3
"2021-03-11",57858.7
"2021-03-12",57325.8
"2021-03-13",61228.6
"2021-03-14",59112.5
"2021-03-15",55670
"2021-03-16",56988.2
"2021-03-17",58996.2
"2021-03-18",57736.9
"2021-03-19",58107.6
"2021-03-20",58170.8
"2021-03-21",57464.7
"2021-03-22",54169.3
"2021-03-23",54406.7
"2021-03-24",52327.4
"2021-03-25",51362.1
"2021-03-26",55092.8
"2021-03-27",55909.1
"2021-03-28",55848.3
"2021-03-29",57704.9
"2021-03-30",58855.3
"2021-03-31",58873.7
"2021-04-01",58797.5
"2021-04-02",59067.2
"2021-04-03",57161.9
"2021-04-04",58271
"2021-04-05",59240.2
"2021-04-06",58084.3
"2021-04-07",56002.1
"2021-04-08",58139.2
"2021-04-09",58149.4
"2021-04-10",59855.9
"2021-04-11",60056.8
"2021-04-12",59902.6
"2021-04-13",63648.4
"2021-04-14",63056.8
"2021-04-15",63306.9
"2021-04-16",61514.4
"2021-04-17",60160
"2021-04-18",56314.8
"2021-04-19",55728.5
"2021-04-20",56507.7
"2021-04-21",53856.8
"2021-04-22",51760.3
"2021-04-23",51219.9
"2021-04-24",50175.4
"2021-04-25",49125
"2021-04-26",54099.2
"2021-04-27",55080.7
"2021-04-28",54904.7
"2021-04-29",53620.9
"2021-04-30",57780.3
"2021-05-01",57911.5
"2021-05-02",56677.9
"2021-05-03",57248.8
"2021-05-04",53262
"2021-05-05",57565.8
"2021-05-06",56461.3
"2021-05-07",57415.1
"2021-05-08",58991.3
"2021-05-09",58330.9
"2021-05-10",55905.4
"2021-05-11",56778.1
"2021-05-12",49703
"2021-05-13",49737.2
"2021-05-14",49898.6
"2021-05-15",46840.1
"2021-05-16",46474.1
"2021-05-17",43646.1
"2021-05-18",42920
"2021-05-19",36686.2
"2021-05-20",40646.1
"2021-05-21",37313.7
"2021-05-22",37469.9
"2021-05-23",34696.4
"2021-05-24",38850.5
"2021-05-25",38371.8
"2021-05-26",39273.9
"2021-05-27",38562
"2021-05-28",35667.7
"2021-05-29",34614.4
"2021-05-30",35649.2
"2021-05-31",37257.1
"2021-06-01",36669.7
"2021-06-02",37575.2
"2021-06-03",39237.7
"2021-06-04",36845.8
"2021-06-05",35512.1
"2021-06-06",35806.2
"2021-06-07",33563.7
"2021-06-08",33376.5
"2021-06-09",37392.2
"2021-06-10",36664.5
"2021-06-11",37298.2
"2021-06-12",35545.4
"2021-06-13",38995.3
"2021-06-14",40480.1
"2021-06-15",40140
"2021-06-16",38325.7
"2021-06-17",38060
"2021-06-18",35818.1
"2021-06-19",35481.8
"2021-06-20",35579
"2021-06-21",31609.4
"2021-06-22",32499.9
"2021-06-23",33649
"2021-06-24",34646.1
