ds,y
"2021-06-16 02:00:00",2522.43
"2021-06-16 06:00:00",2528.16
"2021-06-16 10:00:00",2462.38
"2021-06-16 14:00:00",2417.01
"2021-06-16 18:00:00",2418.56
"2021-06-16 22:00:00",2365.41
"2021-06-17 02:00:00",2431.96
"2021-06-17 06:00:00",2438
"2021-06-17 10:00:00",2424.4
"2021-06-17 14:00:00",2416
"2021-06-17 18:00:00",2338.3
"2021-06-17 22:00:00",2371.38
"2021-06-18 02:00:00",2340.26
"2021-06-18 06:00:00",2339.5
"2021-06-18 10:00:00",2317.61
"2021-06-18 14:00:00",2214.48
"2021-06-18 18:00:00",2152.48
"2021-06-18 22:00:00",2231.6
"2021-06-19 02:00:00",2186.63
"2021-06-19 06:00:00",2244.8
"2021-06-19 10:00:00",2240.85
"2021-06-19 14:00:00",2245.79
"2021-06-19 18:00:00",2221.3
"2021-06-19 22:00:00",2163.72
"2021-06-20 02:00:00",2182.16
"2021-06-20 06:00:00",2201.35
"2021-06-20 10:00:00",2073.28
"2021-06-20 14:00:00",2108.82
"2021-06-20 18:00:00",2221.59
"2021-06-20 22:00:00",2242.78
"2021-06-21 02:00:00",2156.75
"2021-06-21 06:00:00",2011
"2021-06-21 10:00:00",1968.07
"2021-06-21 14:00:00",1983
"2021-06-21 18:00:00",1942.88
"2021-06-21 22:00:00",1884.92
"2021-06-22 02:00:00",1974.62
"2021-06-22 06:00:00",1943.2
"2021-06-22 10:00:00",1865
"2021-06-22 14:00:00",1858.62
"2021-06-22 18:00:00",1895.82
"2021-06-22 22:00:00",1878.85
"2021-06-23 02:00:00",2012.35
"2021-06-23 06:00:00",2004
"2021-06-23 10:00:00",1990.7
"2021-06-23 14:00:00",1973.54
"2021-06-23 18:00:00",1915.5
"2021-06-23 22:00:00",1966.11
"2021-06-24 02:00:00",1904.5
"2021-06-24 06:00:00",1919.41
"2021-06-24 10:00:00",1964.82
"2021-06-24 14:00:00",1986
"2021-06-24 18:00:00",2011.04
"2021-06-24 22:00:00",1988.65
"2021-06-25 02:00:00",1995.68
"2021-06-25 06:00:00",1943.5
"2021-06-25 10:00:00",1851.49
"2021-06-25 14:00:00",1823.3
"2021-06-25 18:00:00",1850.44
"2021-06-25 22:00:00",1808.59
"2021-06-26 02:00:00",1817.67
"2021-06-26 06:00:00",1749.83
"2021-06-26 10:00:00",1800.95
"2021-06-26 14:00:00",1778.02
"2021-06-26 18:00:00",1784
"2021-06-26 22:00:00",1829.25
"2021-06-27 02:00:00",1881.2
"2021-06-27 06:00:00",1865.22
"2021-06-27 10:00:00",1838.02
"2021-06-27 14:00:00",1842.26
"2021-06-27 18:00:00",1821.71
"2021-06-27 22:00:00",1981
"2021-06-28 02:00:00",1967
"2021-06-28 06:00:00",2047.49
"2021-06-28 10:00:00",1997.82
"2021-06-28 14:00:00",2114.99
"2021-06-28 18:00:00",2113.16
"2021-06-28 22:00:00",2083.04
"2021-06-29 02:00:00",2103.43
"2021-06-29 06:00:00",2129.68
"2021-06-29 10:00:00",2174.52
"2021-06-29 14:00:00",2218.83
"2021-06-29 18:00:00",2221.12
"2021-06-29 22:00:00",2164.62
"2021-06-30 02:00:00",2125.12
"2021-06-30 06:00:00",2160.46
"2021-06-30 10:00:00",2155.27
"2021-06-30 14:00:00",2102.68
"2021-06-30 18:00:00",2243
"2021-06-30 22:00:00",2274.25
"2021-07-01 02:00:00",2184.86
"2021-07-01 06:00:00",2127.24
"2021-07-01 10:00:00",2137.45
"2021-07-01 14:00:00",2118.48
"2021-07-01 18:00:00",2100
"2021-07-01 22:00:00",2106.13
"2021-07-02 02:00:00",2040.2
"2021-07-02 06:00:00",2059.4
"2021-07-02 10:00:00",2038.13
"2021-07-02 14:00:00",2123.23
"2021-07-02 18:00:00",2101.77
"2021-07-02 22:00:00",2152.37
"2021-07-03 02:00:00",2130.26
"2021-07-03 06:00:00",2194
"2021-07-03 10:00:00",2212.5
"2021-07-03 14:00:00",2224.28
"2021-07-03 18:00:00",2224.6
"2021-07-03 22:00:00",2226.48
"2021-07-04 02:00:00",2209.07
"2021-07-04 06:00:00",2333
"2021-07-04 10:00:00",2330.2
"2021-07-04 14:00:00",2329
"2021-07-04 18:00:00",2355.2
"2021-07-04 22:00:00",2321.83
"2021-07-05 02:00:00",2263.38
"2021-07-05 06:00:00",2272.23
"2021-07-05 10:00:00",2194.43
"2021-07-05 14:00:00",2206.58
"2021-07-05 18:00:00",2243.67
"2021-07-05 22:00:00",2195.08
"2021-07-06 02:00:00",2235.25
"2021-07-06 06:00:00",2336.2
"2021-07-06 10:00:00",2292.21
"2021-07-06 14:00:00",2303.96
"2021-07-06 18:00:00",2325.39
"2021-07-06 22:00:00",2321.94
"2021-07-07 02:00:00",2337.4
"2021-07-07 06:00:00",2376.32
"2021-07-07 10:00:00",2383.24
"2021-07-07 14:00:00",2341.36
"2021-07-07 18:00:00",2363.99
"2021-07-07 22:00:00",2315.24
"2021-07-08 02:00:00",2253.36
"2021-07-08 06:00:00",2181.73
"2021-07-08 10:00:00",2168.6
"2021-07-08 14:00:00",2173.32
"2021-07-08 18:00:00",2157.2
"2021-07-08 22:00:00",2114.9
"2021-07-09 02:00:00",2120.02
"2021-07-09 06:00:00",2126.06
"2021-07-09 10:00:00",2080.63
"2021-07-09 14:00:00",2171.96
"2021-07-09 18:00:00",2133.48
"2021-07-09 22:00:00",2147.18
"2021-07-10 02:00:00",2134.04
"2021-07-10 06:00:00",2121.72
"2021-07-10 10:00:00",2108.72
"2021-07-10 14:00:00",2118.13
"2021-07-10 18:00:00",2092.53
"2021-07-10 22:00:00",2110.11
"2021-07-11 02:00:00",2090.5
"2021-07-11 06:00:00",2098.43
"2021-07-11 10:00:00",2128.49
