ds,y
"2021-06-16",2365.41
"2021-06-17",2371.38
"2021-06-18",2231.6
"2021-06-19",2163.72
"2021-06-20",2242.78
"2021-06-21",1884.92
"2021-06-22",1878.85
"2021-06-23",1966.11
"2021-06-24",1988.65
"2021-06-25",1808.59
"2021-06-26",1829.25
"2021-06-27",1981
"2021-06-28",2083.04
"2021-06-29",2164.62
"2021-06-30",2274.25
"2021-07-01",2106.13
"2021-07-02",2152.37
"2021-07-03",2226.48
"2021-07-04",2321.83
"2021-07-05",2195.08
"2021-07-06",2321.94
"2021-07-07",2315.24
"2021-07-08",2114.9
"2021-07-09",2147.18
"2021-07-10",2110.11
"2021-07-11",2140.22
"2021-07-12",2031.33
"2021-07-13",1940.43
"2021-07-14",1994.35
"2021-07-15",1919.4
"2021-07-16",1876.4
"2021-07-17",1898.33
"2021-07-18",1890.37
"2021-07-19",1818.17
"2021-07-20",1784.69
"2021-07-21",1995.12
"2021-07-22",2023.43
"2021-07-23",2124.12
"2021-07-24",2183.7
"2021-07-25",2189.66
"2021-07-26",2227.14
"2021-07-27",2298.82
"2021-07-28",2299.36
"2021-07-29",2381.96
"2021-07-30",2462.11
"2021-07-31",2531.15
"2021-08-01",2554.97
"2021-08-02",2606.98
"2021-08-03",2506.92
"2021-08-04",2724.91
"2021-08-05",2827.1
"2021-08-06",2891.91
"2021-08-07",3161.65
"2021-08-08",3014.59
"2021-08-09",3163.69
"2021-08-10",3144.5
"2021-08-11",3161
"2021-08-12",3047.58
"2021-08-13",3324.71
"2021-08-14",3268.63
"2021-08-15",3313.35
"2021-08-16",3148.02
"2021-08-17",3015.75
"2021-08-18",3017.49
"2021-08-19",3187.38
"2021-08-20",3286.51
"2021-08-21",3228.8
"2021-08-22",3242.28
"2021-08-23",3324.37
"2021-08-24",3174.5
"2021-08-25",3228.81
"2021-08-26",3094.17
"2021-08-27",3274.39
"2021-08-28",3247.23
"2021-08-29",3225.79
"2021-08-30",3229.26
"2021-08-31",3429.34
"2021-09-01",3830.15
"2021-09-02",3790.39
"2021-09-03",3942.87
"2021-09-04",3891.12
"2021-09-05",3954.99
"2021-09-06",3931.5
"2021-09-07",3437.02
"2021-09-08",3499.42
"2021-09-09",3426.58
"2021-09-10",3210.03
"2021-09-11",3268.02
"2021-09-12",3404.6
"2021-09-13",3284.58
"2021-09-14",3434.77
"2021-09-15",3615.43
"2021-09-16",3569.3
"2021-09-17",3401.25
"2021-09-18",3435.99
"2021-09-19",3330.03
"2021-09-20",2978.99
"2021-09-21",2766.31
"2021-09-22",3077.31
"2021-09-23",3152.38
"2021-09-24",2929.26
"2021-09-25",2922.32
"2021-09-26",3060.02
"2021-09-27",2925.01
