ds,y
"2019-09-10 11:00:00",12251.25
"2019-09-10 15:00:00",12297.75
"2019-09-10 19:00:00",12293.25
"2019-09-11 07:00:00",12368.25
"2019-09-11 11:00:00",12377.75
"2019-09-11 15:00:00",12364
"2019-09-11 19:00:00",12376
"2019-09-12 07:00:00",12390.75
"2019-09-12 11:00:00",12423.25
"2019-09-12 15:00:00",12405.75
"2019-09-12 19:00:00",12412.75
"2019-09-13 07:00:00",12432
"2019-09-13 11:00:00",12477.25
"2019-09-13 15:00:00",12460.75
"2019-09-13 19:00:00",12453.25
"2019-09-16 07:00:00",12393.5
"2019-09-16 11:00:00",12406.25
"2019-09-16 15:00:00",12382.75
"2019-09-16 19:00:00",12388.5
"2019-09-17 07:00:00",12359.25
"2019-09-17 11:00:00",12352.25
"2019-09-17 15:00:00",12384.25
"2019-09-17 19:00:00",12386
"2019-09-18 07:00:00",12371.75
"2019-09-18 11:00:00",12384.25
"2019-09-18 15:00:00",12394.25
"2019-09-18 19:00:00",12421.75
"2019-09-19 07:00:00",12433
"2019-09-19 11:00:00",12425
"2019-09-19 15:00:00",12461.5
"2019-09-19 19:00:00",12422.75
"2019-09-20 07:00:00",12446.25
"2019-09-20 11:00:00",12441
"2019-09-20 15:00:00",12452.25
"2019-09-20 19:00:00",12383.75
"2019-09-23 07:00:00",12299
"2019-09-23 11:00:00",12312.25
"2019-09-23 15:00:00",12338.5
"2019-09-23 19:00:00",12339.75
"2019-09-24 07:00:00",12333.75
"2019-09-24 11:00:00",12334
"2019-09-24 15:00:00",12278.25
"2019-09-24 19:00:00",12233.75
"2019-09-25 07:00:00",12171.5
"2019-09-25 11:00:00",12153.25
"2019-09-25 15:00:00",12228.5
"2019-09-25 19:00:00",12241.25
"2019-09-26 07:00:00",12277.25
"2019-09-26 11:00:00",12286.75
"2019-09-26 15:00:00",12280.5
"2019-09-26 19:00:00",12310.75
"2019-09-27 07:00:00",12318.25
"2019-09-27 11:00:00",12377.25
"2019-09-27 15:00:00",12343.5
"2019-09-27 19:00:00",12317
"2019-09-30 07:00:00",12354.5
"2019-09-30 11:00:00",12374.75
"2019-09-30 15:00:00",12414
"2019-09-30 19:00:00",12398.5
"2019-10-01 07:00:00",12432.25
"2019-10-01 11:00:00",12399.25
"2019-10-01 15:00:00",12240.5
"2019-10-01 19:00:00",12217.75
"2019-10-02 07:00:00",12134.75
"2019-10-02 11:00:00",12095
"2019-10-02 15:00:00",11924.25
"2019-10-02 19:00:00",11912.25
"2019-10-03 07:00:00",11933.75
"2019-10-03 11:00:00",11887.25
"2019-10-03 15:00:00",11902.25
"2019-10-03 19:00:00",11972.25
"2019-10-04 07:00:00",11923
"2019-10-04 11:00:00",11915.75
"2019-10-04 15:00:00",11996
"2019-10-04 19:00:00",12045.5
"2019-10-07 07:00:00",11972.25
