ds,y
"2019-09-09",12288.75
"2019-09-10",12369.25
"2019-09-11",12414
"2019-09-12",12458.75
"2019-09-15",12396.5
"2019-09-16",12380.5
"2019-09-17",12378.75
"2019-09-18",12441.5
"2019-09-19",12414.25
"2019-09-22",12344
"2019-09-23",12236.25
"2019-09-24",12252.25
"2019-09-25",12305.25
"2019-09-26",12291
"2019-09-29",12416.5
"2019-09-30",12236
"2019-10-01",11939
"2019-10-02",11952.75
"2019-10-03",12025
"2019-10-06",12078.75
"2019-10-07",11986
"2019-10-08",12106.5
"2019-10-09",12133.25
"2019-10-10",12499.25
"2019-10-13",12473.5
"2019-10-14",12636.75
"2019-10-15",12659.5
"2019-10-16",12646.75
"2019-10-17",12642
"2019-10-20",12744.5
"2019-10-21",12700.75
"2019-10-22",12789
"2019-10-23",12850
"2019-10-24",12882
"2019-10-27",12940.25
"2019-10-28",12922.25
"2019-10-29",12931.75
"2019-10-30",12886
"2019-10-31",12962
"2019-11-03",13124.25
"2019-11-04",13143.75
"2019-11-05",13165
"2019-11-06",13265.75
"2019-11-07",13255.5
"2019-11-10",13205.75
"2019-11-11",13266.75
"2019-11-12",13234.75
"2019-11-13",13194.75
"2019-11-14",13237.75
"2019-11-17",13198
"2019-11-18",13193.25
"2019-11-19",13125.25
"2019-11-20",13158.25
"2019-11-21",13187
"2019-11-24",13258
"2019-11-25",13235.5
"2019-11-26",13289.75
"2019-11-27",13249.75
"2019-11-28",13223.5
"2019-12-01",12991
"2019-12-02",13051
"2019-12-03",13153
"2019-12-04",13077.75
"2019-12-05",13172.5
"2019-12-08",13073.25
"2019-12-09",13061.25
"2019-12-10",13132
"2019-12-11",13253
"2019-12-12",13304.25
"2019-12-15",13400.5
"2019-12-16",13282.5
"2019-12-17",13219.25
"2019-12-18",13211.75
"2019-12-19",13301.75
"2019-12-22",13284.5
"2019-12-26",13294.75
"2019-12-29",13125.5
"2020-01-01",13443
"2020-01-02",13154.5
"2020-01-05",13150.25
"2020-01-06",13184.5
"2020-01-07",13356.75
"2020-01-08",13501.25
"2020-01-09",13448.75
"2020-01-12",13463.25
"2020-01-13",13442
"2020-01-14",13401.75
"2020-01-15",13455.5
"2020-01-16",13528.5
"2020-01-19",13573.75
"2020-01-20",13522.5
"2020-01-21",13480.25
"2020-01-22",13474.25
"2020-01-23",13511.5
"2020-01-26",13184.75
"2020-01-27",13314.75
"2020-01-28",13314.25
"2020-01-29",13227.75
"2020-01-30",12918.5
"2020-02-02",13020.5
"2020-02-03",13278.25
"2020-02-04",13500.75
"2020-02-05",13558.75
"2020-02-06",13467
"2020-02-09",13523.5
"2020-02-10",13619
"2020-02-11",13763.5
"2020-02-12",13730.25
"2020-02-13",13744.75
"2020-02-16",13777.25
"2020-02-17",13693
"2020-02-18",13763.25
"2020-02-19",13708.25
"2020-02-20",13552
"2020-02-23",12964
"2020-02-24",12613.75
"2020-02-25",12583
"2020-02-26",12115
"2020-02-27",11954
"2020-03-01",12065.25
"2020-03-02",11803
"2020-03-03",12268.25
"2020-03-04",11770.25
"2020-03-05",11563.25
"2020-03-08",10392.25
"2020-03-09",10861.75
"2020-03-10",10312
"2020-03-11",9097
"2020-03-12",9657.5
"2020-03-15",8515.5
"2020-03-16",8960.75
"2020-03-17",8403
"2020-03-18",8598.75
"2020-03-19",8585.75
"2020-03-22",8697.25
"2020-03-23",9648.5
"2020-03-24",9770.25
"2020-03-25",10005.5
"2020-03-26",9555.75
"2020-03-29",9767.75
"2020-03-30",9778.25
"2020-03-31",9401.25
"2020-04-01",9526.25
"2020-04-02",9474.75
"2020-04-05",10097.75
"2020-04-06",10228.25
"2020-04-07",10378.75
"2020-04-08",10552.25
"2020-04-09",10640.5
"2020-04-13",10722.25
"2020-04-14",10316.5
"2020-04-15",10251.25
"2020-04-16",10621
"2020-04-19",10532
"2020-04-20",10260.5
"2020-04-21",10426
"2020-04-22",10423
"2020-04-23",10424.75
"2020-04-26",10687.75
"2020-04-27",10758.75
"2020-04-28",11125.5
"2020-04-29",10813.5
"2020-04-30",10565.75
"2020-05-03",10523.5
"2020-05-04",10724
"2020-05-05",10595.75
"2020-05-06",10716.5
"2020-05-07",10896.75
"2020-05-10",10878.5
"2020-05-11",10766
"2020-05-12",10448.75
"2020-05-13",10381.25
"2020-05-14",10479
"2020-05-17",11108
"2020-05-18",11014
"2020-05-19",11206.5
"2020-05-20",11073.5
"2020-05-21",11110.75
"2020-05-24",11382.75
"2020-05-25",11515
"2020-05-26",11702.75
"2020-05-27",11778.5
"2020-05-28",11636.25
"2020-05-31",11903.25
"2020-06-01",12033
"2020-06-02",12544
"2020-06-03",12396
"2020-06-04",12771.75
"2020-06-07",12863
"2020-06-08",12643.75
"2020-06-09",12504.5
"2020-06-10",11818.25
"2020-06-11",11959.25
"2020-06-14",12068
"2020-06-15",12321
"2020-06-16",12376
"2020-06-17",12244.75
"2020-06-18",12205.5
"2020-06-21",12310
"2020-06-22",12452.25
"2020-06-23",12112
"2020-06-24",12215.25
"2020-06-25",12040.5
"2020-06-28",12235.25
"2020-06-29",12311.5
"2020-06-30",12290
"2020-07-01",12601.75
"2020-07-02",12560
"2020-07-05",12696.5
"2020-07-06",12580.75
"2020-07-07",12516
"2020-07-08",12557.25
"2020-07-09",12669
"2020-07-12",12717
"2020-07-13",12721.5
"2020-07-14",12894
"2020-07-15",12858
"2020-07-16",12927.25
"2020-07-19",13033.25
"2020-07-20",13140.25
"2020-07-21",13116.5
"2020-07-22",12975
"2020-07-23",12823.5
"2020-07-26",12847.25
"2020-07-27",12822.75
"2020-07-28",12832.5
"2020-07-29",12446
"2020-07-30",12239.5
"2020-08-02",12648.25
"2020-08-03",12584
"2020-08-04",12617.25
"2020-08-05",12653
"2020-08-06",12646.75
"2020-08-09",12724.5
"2020-08-10",12926.25
"2020-08-11",13069
"2020-08-12",12935
"2020-08-13",12829.5
"2020-08-16",12910.25
"2020-08-17",12875.5
"2020-08-18",12957
"2020-08-19",12856.5
"2020-08-20",12774.25
"2020-08-23",13028
"2020-08-24",13058
"2020-08-25",13200.75
"2020-08-26",13081.5
"2020-08-27",13037.5
"2020-08-30",12971.25
"2020-08-31",12968.25
"2020-09-01",13301.75
"2020-09-02",12961
"2020-09-03",12992.5
"2020-09-06",13115
"2020-09-07",12930.5
"2020-09-08",13293.5
"2020-09-09",13143.5
"2020-09-10",13164.75
"2020-09-13",13172.75
"2020-09-14",13211
"2020-09-15",13239.5
"2020-09-16",13212.25
"2020-09-17",13112.25
"2020-09-20",12575.25
"2020-09-21",12618.25
"2020-09-22",12536.5
"2020-09-23",12583.75
"2020-09-24",12527.5
"2020-09-27",12842.5
"2020-09-28",12798.25
"2020-09-29",12743.25
"2020-09-30",12702.75
"2020-10-01",12701.25
"2020-10-04",12826
"2020-10-05",12843
"2020-10-06",12931.75
"2020-10-07",13042.75
"2020-10-08",13026.75
"2020-10-11",13148
"2020-10-12",12970.75
"2020-10-13",12960.25
"2020-10-14",12714.5
"2020-10-15",12918.75
"2020-10-18",12738
"2020-10-19",12754.25
"2020-10-20",12582.5
"2020-10-21",12575.75
"2020-10-22",12622.25
"2020-10-25",12199.25
"2020-10-26",12002.25
"2020-10-27",11479.5
"2020-10-28",11607
"2020-10-29",11572.5
"2020-11-01",11757.25
"2020-11-02",12086
"2020-11-03",12291.25
"2020-11-04",12525.25
"2020-11-05",12485
"2020-11-08",12995.5
"2020-11-09",13164.5
"2020-11-10",13222.5
"2020-11-11",12974.25
"2020-11-12",13114.5
"2020-11-15",13154.25
"2020-11-16",13133.75
"2020-11-17",13084.75
"2020-11-18",13126.5
"2020-11-19",13114.5
"2020-11-22",13154.25
"2020-11-23",13309.25
"2020-11-24",13280
"2020-11-25",13265.75
"2020-11-26",13360.75
"2020-11-29",13270.75
"2020-11-30",13374.25
"2020-12-01",13297.25
"2020-12-02",13207.75
"2020-12-03",13298
"2020-12-06",13264
"2020-12-07",13299
"2020-12-08",13318.25
"2020-12-09",13274.25
"2020-12-10",13139.5
"2020-12-13",13179.5
"2020-12-14",13417.25
"2020-12-15",13583.25
"2020-12-16",13689.25
