ds,y
"2022-01-03 00:00:00",4783.3
"2022-01-03 01:00:00",4791
"2022-01-03 02:00:00",4785.5
"2022-01-03 03:00:00",4787.1
"2022-01-03 04:00:00",4785.8
"2022-01-03 05:00:00",4786.1
"2022-01-03 06:00:00",4786.3
"2022-01-03 07:00:00",4784.3
"2022-01-03 08:00:00",4784.3
"2022-01-03 09:00:00",4783.8
"2022-01-03 10:00:00",4790
"2022-01-03 11:00:00",4795.1
"2022-01-03 12:00:00",4798
"2022-01-03 13:00:00",4792
"2022-01-03 14:00:00",4783.2
"2022-01-03 15:00:00",4767.4
"2022-01-03 16:00:00",4779.5
"2022-01-03 17:00:00",4771.2
"2022-01-03 18:00:00",4774.4
"2022-01-03 19:00:00",4785.6
"2022-01-03 20:00:00",4790.6
"2022-01-03 21:00:00",4796
"2022-01-03 22:00:00",4793.9
"2022-01-04 00:00:00",4792.1
"2022-01-04 01:00:00",4793.1
"2022-01-04 02:00:00",4793.4
"2022-01-04 03:00:00",4797.9
"2022-01-04 04:00:00",4798.9
"2022-01-04 05:00:00",4803.4
"2022-01-04 06:00:00",4806.2
"2022-01-04 07:00:00",4805.4
"2022-01-04 08:00:00",4806.1
"2022-01-04 09:00:00",4802.3
"2022-01-04 10:00:00",4805.4
"2022-01-04 11:00:00",4812.9
"2022-01-04 12:00:00",4812.1
"2022-01-04 13:00:00",4808.1
"2022-01-04 14:00:00",4811.6
"2022-01-04 15:00:00",4814.4
"2022-01-04 16:00:00",4795.1
"2022-01-04 17:00:00",4793.1
"2022-01-04 18:00:00",4785.8
"2022-01-04 19:00:00",4775
"2022-01-04 20:00:00",4791.8
"2022-01-04 21:00:00",4793
"2022-01-04 22:00:00",4792.7
"2022-01-05 00:00:00",4786.8
"2022-01-05 01:00:00",4785.6
"2022-01-05 02:00:00",4781.1
"2022-01-05 03:00:00",4782.3
"2022-01-05 04:00:00",4782.4
"2022-01-05 05:00:00",4781.4
"2022-01-05 06:00:00",4777.1
"2022-01-05 07:00:00",4783.3
"2022-01-05 08:00:00",4787.6
"2022-01-05 09:00:00",4786.6
"2022-01-05 10:00:00",4792.4
"2022-01-05 11:00:00",4790.6
"2022-01-05 12:00:00",4789.6
"2022-01-05 13:00:00",4787.8
"2022-01-05 14:00:00",4791.1
"2022-01-05 15:00:00",4789.3
"2022-01-05 16:00:00",4790.4
"2022-01-05 17:00:00",4782.8
"2022-01-05 18:00:00",4776.8
"2022-01-05 19:00:00",4775.4
"2022-01-05 20:00:00",4733.9
"2022-01-05 21:00:00",4701.7
"2022-01-05 22:00:00",4700.6
"2022-01-06 00:00:00",4706.5
"2022-01-06 01:00:00",4706.5
"2022-01-06 02:00:00",4706.7
"2022-01-06 03:00:00",4702
"2022-01-06 04:00:00",4682.5
"2022-01-06 05:00:00",4677.5
"2022-01-06 06:00:00",4683.2
