ds,y
"2014-06-23",1959.9
"2014-06-24",1950.1
"2014-06-25",1956.6
"2014-06-26",1956.9
"2014-06-27",1959.9
"2014-06-30",1961.9
"2014-07-01",1973.9
"2014-07-02",1975.9
"2014-07-03",1985.4
"2014-07-04",1982.1
"2014-07-07",1977.1
"2014-07-08",1965.9
"2014-07-09",1973.4
"2014-07-10",1962.6
"2014-07-11",1968.1
"2014-07-14",1976.9
"2014-07-15",1973.9
"2014-07-16",1977.9
"2014-07-17",1954.9
"2014-07-18",1977.4
"2014-07-21",1971.4
"2014-07-22",1978.4
"2014-07-23",1986.9
"2014-07-24",1985.1
"2014-07-25",1976.9
"2014-07-28",1977.9
"2014-07-29",1970.5
"2014-07-30",1969.7
"2014-07-31",1929.1
"2014-08-01",1923.1
"2014-08-04",1936.6
"2014-08-05",1918.6
"2014-08-06",1919.9
"2014-08-07",1907.9
"2014-08-08",1927.4
"2014-08-11",1937.1
"2014-08-12",1936.1
"2014-08-13",1949.9
"2014-08-14",1957.9
"2014-08-15",1955.4
"2014-08-18",1971.4
"2014-08-19",1980.1
"2014-08-20",1985.9
"2014-08-21",1992.6
"2014-08-22",1990.9
"2014-08-25",1997.4
"2014-08-26",2001.6
"2014-08-27",1999.6
"2014-08-28",2000.9
"2014-08-29",2002.1
"2014-09-01",2002.1
"2014-09-02",2002.6
"2014-09-03",2000.6
"2014-09-04",2001.4
"2014-09-05",2007.6
"2014-09-08",2003.1
"2014-09-09",1991.1
"2014-09-10",1997.1
"2014-09-11",2000.9
"2014-09-12",1986.5
"2014-09-15",1986.4
"2014-09-16",2001.6
"2014-09-17",2004.1
"2014-09-18",2014.1
"2014-09-19",2011.1
"2014-09-22",1992.6
"2014-09-23",1976.1
"2014-09-24",1998.4
"2014-09-25",1968.9
"2014-09-26",1984.1
"2014-09-29",1976.4
"2014-09-30",1969.4
"2014-10-01",1949.4
"2014-10-02",1945.1
"2014-10-03",1967.4
"2014-10-06",1960.9
"2014-10-07",1931.9
"2014-10-08",1969.6
"2014-10-09",1924.9
"2014-10-10",1900.1
"2014-10-13",1871.1
"2014-10-14",1883.6
"2014-10-15",1851.4
"2014-10-16",1857.6
"2014-10-17",1887.4
"2014-10-20",1908.4
"2014-10-21",1945.9
"2014-10-22",1931.4
"2014-10-23",1953.1
"2014-10-24",1966.4
"2015-03-30",2082
"2015-03-31",2066.3
"2015-04-01",2061.8
"2015-04-02",2068.5
"2015-04-03",2047
"2015-04-06",2080
"2015-04-07",2075.8
"2015-04-08",2084.3
"2015-04-09",2092.5
"2015-04-10",2103.3
"2015-04-13",2094.3
"2015-04-14",2098
"2015-04-15",2108
"2015-04-16",2107.8
"2015-04-17",2082.8
"2015-04-20",2097.8
"2015-04-21",2098.8
"2015-04-22",2105.5
"2015-04-23",2113.5
"2015-04-24",2117.8
"2015-04-27",2109.5
"2015-04-28",2118
"2015-04-29",2104.5
"2015-04-30",2088.5
"2015-05-01",2108
"2015-05-04",2115.5
"2015-05-05",2090
"2015-05-06",2079.8
"2015-05-07",2088.3
"2015-05-08",2113.3
"2015-05-11",2101.5
"2015-05-12",2100.3
"2015-05-13",2100.5
"2015-05-14",2121.8
"2015-05-15",2122.8
"2015-05-18",2129.8
"2015-05-19",2125.8
"2015-05-20",2124.3
"2015-05-21",2131.3
"2015-05-22",2127.3
"2015-05-25",2125.5
"2015-05-26",2107.5
"2015-05-27",2122
"2015-05-28",2124.5
"2015-05-29",2109.8
"2015-06-01",2113
"2015-06-02",2108.5
