ds,y
"2023-01-22 23:05:00",1.08624
"2023-01-22 23:10:00",1.08644
"2023-01-22 23:15:00",1.08644
"2023-01-22 23:20:00",1.08642
"2023-01-22 23:25:00",1.08644
"2023-01-22 23:30:00",1.08622
"2023-01-22 23:35:00",1.0862
"2023-01-22 23:40:00",1.0862
"2023-01-22 23:45:00",1.08632
"2023-01-22 23:50:00",1.08632
"2023-01-22 23:55:00",1.08649
"2023-01-23 00:00:00",1.08628
"2023-01-23 00:05:00",1.08656
"2023-01-23 00:10:00",1.08665
"2023-01-23 00:15:00",1.0864
"2023-01-23 00:20:00",1.08648
"2023-01-23 00:25:00",1.08668
"2023-01-23 00:30:00",1.0868
"2023-01-23 00:35:00",1.08685
"2023-01-23 00:40:00",1.0865
"2023-01-23 00:45:00",1.08641
"2023-01-23 00:50:00",1.08639
"2023-01-23 00:55:00",1.0864
"2023-01-23 01:00:00",1.08707
"2023-01-23 01:05:00",1.08699
"2023-01-23 01:10:00",1.08698
"2023-01-23 01:15:00",1.0869
"2023-01-23 01:20:00",1.08691
"2023-01-23 01:25:00",1.08674
"2023-01-23 01:30:00",1.08736
"2023-01-23 01:35:00",1.08724
"2023-01-23 01:40:00",1.08737
"2023-01-23 01:45:00",1.08799
"2023-01-23 01:50:00",1.08819
"2023-01-23 01:55:00",1.08848
"2023-01-23 02:00:00",1.08823
"2023-01-23 02:05:00",1.08844
"2023-01-23 02:10:00",1.08879
"2023-01-23 02:15:00",1.08955
"2023-01-23 02:20:00",1.08942
"2023-01-23 02:25:00",1.08939
"2023-01-23 02:30:00",1.08896
"2023-01-23 02:35:00",1.08954
"2023-01-23 02:40:00",1.08984
"2023-01-23 02:45:00",1.08955
"2023-01-23 02:50:00",1.08942
"2023-01-23 02:55:00",1.08948
"2023-01-23 03:00:00",1.08939
"2023-01-23 03:05:00",1.08959
"2023-01-23 03:10:00",1.08943
"2023-01-23 03:15:00",1.08952
"2023-01-23 03:20:00",1.08965
"2023-01-23 03:25:00",1.08982
"2023-01-23 03:30:00",1.08951
"2023-01-23 03:35:00",1.0895
"2023-01-23 03:40:00",1.08942
"2023-01-23 03:45:00",1.08939
"2023-01-23 03:50:00",1.0891
"2023-01-23 03:55:00",1.08923
"2023-01-23 04:00:00",1.08946
"2023-01-23 04:05:00",1.08968
"2023-01-23 04:10:00",1.09011
"2023-01-23 04:15:00",1.09008
"2023-01-23 04:20:00",1.09023
"2023-01-23 04:25:00",1.09023
"2023-01-23 04:30:00",1.08973
"2023-01-23 04:35:00",1.08987
"2023-01-23 04:40:00",1.08999
"2023-01-23 04:45:00",1.08993
"2023-01-23 04:50:00",1.08986
"2023-01-23 04:55:00",1.08983
"2023-01-23 05:00:00",1.08965
"2023-01-23 05:05:00",1.08926
"2023-01-23 05:10:00",1.08951
"2023-01-23 05:15:00",1.08962
"2023-01-23 05:20:00",1.0894
"2023-01-23 05:25:00",1.08914
"2023-01-23 05:30:00",1.08926
"2023-01-23 05:35:00",1.08899
"2023-01-23 05:40:00",1.08916
"2023-01-23 05:45:00",1.08916
"2023-01-23 05:50:00",1.08932
"2023-01-23 05:55:00",1.08946
"2023-01-23 06:00:00",1.08944
"2023-01-23 06:05:00",1.08929
"2023-01-23 06:10:00",1.08919
"2023-01-23 06:15:00",1.0891
"2023-01-23 06:20:00",1.08921
"2023-01-23 06:25:00",1.08965
"2023-01-23 06:30:00",1.08967
"2023-01-23 06:35:00",1.08966
"2023-01-23 06:40:00",1.08963
"2023-01-23 06:45:00",1.08952
"2023-01-23 06:50:00",1.08921
"2023-01-23 06:55:00",1.0892
"2023-01-23 07:00:00",1.08921
"2023-01-23 07:05:00",1.08916
"2023-01-23 07:10:00",1.0892
"2023-01-23 07:15:00",1.08917
"2023-01-23 07:20:00",1.08892
"2023-01-23 07:25:00",1.08881
"2023-01-23 07:30:00",1.08919
"2023-01-23 07:35:00",1.08917
"2023-01-23 07:40:00",1.08935
"2023-01-23 07:45:00",1.08961
"2023-01-23 07:50:00",1.09037
"2023-01-23 07:55:00",1.09004
"2023-01-23 08:00:00",1.09166
"2023-01-23 08:05:00",1.09111
"2023-01-23 08:10:00",1.09085
"2023-01-23 08:15:00",1.0902
"2023-01-23 08:20:00",1.08985
"2023-01-23 08:25:00",1.08941
"2023-01-23 08:30:00",1.08992
"2023-01-23 08:35:00",1.09011
"2023-01-23 08:40:00",1.09002
"2023-01-23 08:45:00",1.09072
"2023-01-23 08:50:00",1.09076
"2023-01-23 08:55:00",1.09141
"2023-01-23 09:00:00",1.09102
"2023-01-23 09:05:00",1.09091
"2023-01-23 09:10:00",1.09029
"2023-01-23 09:15:00",1.09047
"2023-01-23 09:20:00",1.08956
"2023-01-23 09:25:00",1.09006
"2023-01-23 09:30:00",1.09004
"2023-01-23 09:35:00",1.08961
"2023-01-23 09:40:00",1.08997
"2023-01-23 09:45:00",1.08942
"2023-01-23 09:50:00",1.08989
"2023-01-23 09:55:00",1.08996
"2023-01-23 10:00:00",1.0896
"2023-01-23 10:05:00",1.08968
"2023-01-23 10:10:00",1.08972
"2023-01-23 10:15:00",1.08996
"2023-01-23 10:20:00",1.08993
"2023-01-23 10:25:00",1.08997
"2023-01-23 10:30:00",1.09015
"2023-01-23 10:35:00",1.09052
"2023-01-23 10:40:00",1.09085
"2023-01-23 10:45:00",1.09145
"2023-01-23 10:50:00",1.09192
"2023-01-23 10:55:00",1.09114
"2023-01-23 11:00:00",1.09119
"2023-01-23 11:05:00",1.0909
"2023-01-23 11:10:00",1.09095
"2023-01-23 11:15:00",1.09081
"2023-01-23 11:20:00",1.09064
"2023-01-23 11:25:00",1.09049
"2023-01-23 11:30:00",1.08969
"2023-01-23 11:35:00",1.08979
"2023-01-23 11:40:00",1.08966
"2023-01-23 11:45:00",1.09009
"2023-01-23 11:50:00",1.09021
"2023-01-23 11:55:00",1.0899
"2023-01-23 12:00:00",1.08984
"2023-01-23 12:05:00",1.08965
"2023-01-23 12:10:00",1.08914
"2023-01-23 12:15:00",1.08922
"2023-01-23 12:20:00",1.08915
"2023-01-23 12:25:00",1.08904
"2023-01-23 12:30:00",1.08834
"2023-01-23 12:35:00",1.08829
"2023-01-23 12:40:00",1.0879
"2023-01-23 12:45:00",1.08805
"2023-01-23 12:50:00",1.08795
"2023-01-23 12:55:00",1.08811
"2023-01-23 13:00:00",1.08768
"2023-01-23 13:05:00",1.08762
"2023-01-23 13:10:00",1.08728
"2023-01-23 13:15:00",1.08722
"2023-01-23 13:20:00",1.08733
"2023-01-23 13:25:00",1.08702
"2023-01-23 13:30:00",1.08667
"2023-01-23 13:35:00",1.08734
"2023-01-23 13:40:00",1.08767
"2023-01-23 13:45:00",1.08784
"2023-01-23 13:50:00",1.08759
"2023-01-23 13:55:00",1.08709
"2023-01-23 14:00:00",1.08767
"2023-01-23 14:05:00",1.08762
"2023-01-23 14:10:00",1.08701
"2023-01-23 14:15:00",1.08734
"2023-01-23 14:20:00",1.08739
"2023-01-23 14:25:00",1.0874
"2023-01-23 14:30:00",1.08677
"2023-01-23 14:35:00",1.08555
