ds,y
"2015-04-20",4417.4
"2015-04-21",4442.9
"2015-04-22",4452.4
"2015-04-23",4499.7
"2015-04-24",4538.8
"2015-04-27",4535
"2015-04-28",4518.5
"2015-04-29",4476.9
"2015-04-30",4418.7
"2015-05-01",4476.6
"2015-05-04",4481.3
"2015-05-05",4418.3
"2015-05-06",4374.2
"2015-05-07",4408.7
"2015-05-08",4453.5
"2015-05-11",4433.1
"2015-05-12",4432.2
"2015-05-13",4431.2
"2015-05-14",4494.6
"2015-05-15",4495.1
"2015-05-18",4512.5
"2015-05-19",4503.4
"2015-05-20",4493.9
"2015-05-21",4531.4
"2015-05-22",4530.6
"2015-05-25",4528.9
"2015-05-26",4479.3
"2015-05-27",4544.1
"2015-05-28",4543.9
"2015-05-29",4518.9
"2015-06-01",4527.6
"2015-06-02",4507.8
"2015-06-03",4528.3
"2015-06-04",4496.1
"2015-06-05",4483.1
"2015-06-08",4438.2
"2015-06-09",4434.1
"2015-06-10",4484.5
"2015-06-11",4487.4
"2015-06-12",4455.6
"2015-06-15",4431.9
"2015-06-16",4459.6
"2015-06-17",4461.8
"2015-06-18",4535.5
"2015-06-19",4511.6
"2015-06-22",4547.5
"2015-06-23",4551.4
"2015-06-24",4529.6
"2015-06-25",4515.2
"2015-06-26",4489.4
"2015-06-29",4393.2
"2015-06-30",4402.7
"2015-07-01",4429.2
"2015-07-02",4435.4
"2015-07-03",4424.7
"2015-07-06",4437.9
"2015-07-07",4421.7
"2015-07-08",4366.1
"2015-07-09",4380.3
"2015-07-10",4419.3
"2015-07-13",4496.7
"2015-07-14",4525
"2015-07-15",4549
"2015-07-16",4624.6
"2015-07-17",4660.3
"2015-07-20",4680.8
"2015-07-21",4624.1
"2015-07-22",4635.1
"2015-07-23",4636.8
"2015-07-24",4572.3
"2015-07-27",4530.7
"2015-07-28",4566.9
"2015-07-29",4569.9
"2015-07-30",4597.9
"2015-07-31",4592.2
"2015-08-03",4573.1
"2015-08-04",4561.3
"2015-08-05",4595
"2015-08-06",4529.4
"2015-08-07",4521.2
"2015-08-10",4586.8
"2015-08-11",4526.5
"2015-08-12",4534.1
"2015-08-13",4516.6
"2015-08-14",4536.9
"2015-08-17",4566.7
"2015-08-18",4544
"2015-08-19",4507.8
"2015-08-20",4368.5
"2015-08-21",4197.7
"2015-08-24",4033.5
"2015-08-25",3961
"2015-08-26",4222
"2015-08-27",4329.3
"2015-08-28",4324.8
"2015-08-31",4241.7
"2015-09-01",4165.8
