ds,y
"2016-01-03",119.297
"2016-01-04",118.984
"2016-01-05",118.524
"2016-01-06",117.527
"2016-01-07",117.586
"2016-01-10",117.789
"2016-01-11",117.498
"2016-01-12",118.086
"2016-01-13",117.916
"2016-01-14",117.023
"2016-01-17",117.323
"2016-01-18",117.565
"2016-01-19",116.597
"2016-01-20",117.834
"2016-01-21",118.766
"2016-01-24",118.42
"2016-01-25",118.369
"2016-01-26",118.826
"2016-01-27",118.807
"2016-01-28",120.716
"2016-01-31",121.132
"2016-02-01",120.688
"2016-02-02",119.452
"2016-02-03",117.223
"2016-02-04",116.895
"2016-02-07",115.516
"2016-02-08",114.693
"2016-02-09",113.363
"2016-02-10",112.495
"2016-02-11",113.246
"2016-02-14",114.563
"2016-02-15",114.629
"2016-02-16",114.329
"2016-02-17",113.814
"2016-02-18",112.836
"2016-02-21",113.08
"2016-02-22",112.476
"2016-02-23",111.651
"2016-02-24",112.622
"2016-02-25",113.882
"2016-02-28",112.388
"2016-02-29",113.782
"2016-03-01",114.14
"2016-03-02",113.908
"2016-03-03",113.966
"2016-03-06",113.7
"2016-03-07",112.908
"2016-03-08",113.393
"2016-03-09",113.072
"2016-03-10",113.711
"2016-03-13",113.601
"2016-03-14",113.111
"2016-03-15",113.735
"2016-03-16",111.409
"2016-03-17",111.312
"2016-03-20",111.256
"2016-03-21",111.979
"2016-03-22",112.708
"2016-03-23",112.545
"2016-03-24",113.089
"2016-03-27",113.644
"2016-03-28",112.75
"2016-03-29",112.5
"2016-03-30",112.546
"2016-03-31",111.646
"2016-04-03",111.496
"2016-04-04",110.506
"2016-04-05",109.754
"2016-04-06",108.393
"2016-04-07",108.874
"2016-04-10",107.909
"2016-04-11",108.192
"2016-04-12",109.067
"2016-04-13",109.365
"2016-04-14",108.908
"2016-04-17",107.97
"2016-04-18",109.087
"2016-04-19",109.165
"2016-04-20",109.427
"2016-04-21",111.62
"2016-04-24",111.166
"2016-04-25",110.986
"2016-04-26",111.363
"2016-04-27",108.545
"2016-04-28",106.39
"2016-05-01",106.594
"2016-05-02",105.899
"2016-05-03",106.888
"2016-05-04",107.318
"2016-05-05",106.733
"2016-05-08",107.375
"2016-05-09",109.1
"2016-05-10",108.601
"2016-05-11",108.976
"2016-05-12",109.065
"2016-05-15",108.819
"2016-05-16",109.088
"2016-05-17",109.599
"2016-05-18",109.926
"2016-05-19",110.145
"2016-05-22",109.772
"2016-05-23",109.404
"2016-05-24",110.081
"2016-05-25",109.968
"2016-05-26",109.912
"2016-05-29",111.067
"2016-05-30",110.727
"2016-05-31",109.43
"2016-06-01",108.819
"2016-06-02",108.889
"2016-06-05",107.256
"2016-06-06",107.848
"2016-06-07",106.77
"2016-06-08",106.35
"2016-06-09",106.771
"2016-06-12",105.946
"2016-06-13",106.06
"2016-06-14",106.275
"2016-06-15",104.363
"2016-06-16",104.253
"2016-06-19",104.544
"2016-06-20",103.889
"2016-06-21",104.576
"2016-06-22",105.93
"2016-06-23",102.564
"2016-06-26",101.951
"2016-06-27",102.786
"2016-06-28",102.875
"2016-06-29",103.284
"2016-06-30",102.635
"2016-07-03",102.755
"2016-07-04",102.129
"2016-07-05",101.052
"2016-07-06",100.761
"2016-07-07",100.548
"2016-07-10",100.654
"2016-07-11",103.033
"2016-07-12",104.442
"2016-07-13",105.24
"2016-07-14",105.446
"2016-07-17",105.502
"2016-07-18",106.216
"2016-07-19",107.222
"2016-07-20",105.796
"2016-07-21",106.133
"2016-07-24",105.695
"2016-07-25",104.857
"2016-07-26",105.701
"2016-07-27",104.888
"2016-07-28",102.04
"2016-07-31",102.371
"2016-08-01",100.897
"2016-08-02",101.128
"2016-08-03",101.21
"2016-08-04",101.861
"2016-08-07",102.408
"2016-08-08",101.942
"2016-08-09",101.222
"2016-08-10",101.27
"2016-08-11",101.104
"2016-08-14",101.267
"2016-08-15",100.437
"2016-08-16",100.11
"2016-08-17",100.285
"2016-08-18",100.2
"2016-08-21",100.349
"2016-08-22",100.041
"2016-08-23",100.236
"2016-08-24",100.542
"2016-08-25",100.325
"2016-08-28",102.126
"2016-08-29",102.95
"2016-08-30",103.454
"2016-08-31",103.244
"2016-09-01",103.506
"2016-09-04",103.424
"2016-09-05",103.296
"2016-09-06",101.692
"2016-09-07",101.577
"2016-09-08",102.687
"2016-09-11",102.098
"2016-09-12",102.661
"2016-09-13",102.887
"2016-09-14",102.268
"2016-09-15",102.263
"2016-09-18",102.044
"2016-09-19",101.902
"2016-09-20",100.421
"2016-09-21",100.788
"2016-09-22",101.103
"2016-09-25",100.927
"2016-09-26",100.738
"2016-09-27",100.659
"2016-09-28",101.36
"2016-09-29",101.194
"2016-10-02",101.474
"2016-10-03",102.451
"2016-10-04",103.496
"2016-10-05",103.894
"2016-10-06",103.213
"2016-10-09",103.652
"2016-10-10",103.881
"2016-10-11",104.38
"2016-10-12",103.615
"2016-10-13",104.007
"2016-10-16",104.294
"2016-10-17",103.82
"2016-10-18",103.385
"2016-10-19",103.999
"2016-10-20",103.847
"2016-10-23",103.919
"2016-10-24",104.207
"2016-10-25",104.155
"2016-10-26",104.638
"2016-10-27",105.151
"2016-10-30",104.902
"2016-10-31",104.807
"2016-11-01",103.358
"2016-11-02",102.955
"2016-11-03",102.992
"2016-11-06",104.092
"2016-11-07",105.032
"2016-11-08",104.869
"2016-11-09",106.851
