ds,y
"2018-12-31 23:00:00",3.7329
"2019-01-01 23:00:00",3.741
"2019-01-02 03:00:00",3.73255
"2019-01-02 07:00:00",3.7592
"2019-01-02 11:00:00",3.777
"2019-01-02 15:00:00",3.7849
"2019-01-02 19:00:00",3.78055
"2019-01-02 23:00:00",3.7837
"2019-01-03 03:00:00",3.77755
"2019-01-03 07:00:00",3.78055
"2019-01-03 11:00:00",3.7795
"2019-01-03 15:00:00",3.7609
"2019-01-03 19:00:00",3.76105
"2019-01-03 23:00:00",3.7573
"2019-01-04 03:00:00",3.76295
"2019-01-04 07:00:00",3.7702
"2019-01-04 11:00:00",3.7756
"2019-01-04 15:00:00",3.75655
"2019-01-04 19:00:00",3.75885
"2019-01-06 23:00:00",3.75375
"2019-01-07 03:00:00",3.7529
"2019-01-07 07:00:00",3.75385
"2019-01-07 11:00:00",3.74315
"2019-01-07 15:00:00",3.7432
"2019-01-07 19:00:00",3.7421
"2019-01-07 23:00:00",3.74995
"2019-01-08 03:00:00",3.7519
"2019-01-08 07:00:00",3.7535
"2019-01-08 11:00:00",3.7634
"2019-01-08 15:00:00",3.74875
"2019-01-08 19:00:00",3.75365
"2019-01-08 23:00:00",3.7466
"2019-01-09 03:00:00",3.7454
"2019-01-09 07:00:00",3.74905
"2019-01-09 11:00:00",3.7463
"2019-01-09 15:00:00",3.7251
"2019-01-09 19:00:00",3.72065
"2019-01-09 23:00:00",3.7204
"2019-01-10 03:00:00",3.7186
"2019-01-10 07:00:00",3.7328
"2019-01-10 11:00:00",3.72895
"2019-01-10 15:00:00",3.7288
"2019-01-10 19:00:00",3.73245
"2019-01-10 23:00:00",3.727
"2019-01-11 03:00:00",3.7237
"2019-01-11 07:00:00",3.72665
"2019-01-11 11:00:00",3.7239
"2019-01-11 15:00:00",3.73625
"2019-01-11 19:00:00",3.73795
"2019-01-13 23:00:00",3.7361
"2019-01-14 03:00:00",3.7375
"2019-01-14 07:00:00",3.74365
"2019-01-14 11:00:00",3.7408
"2019-01-14 15:00:00",3.73655
"2019-01-14 19:00:00",3.73855
"2019-01-14 23:00:00",3.7336
"2019-01-15 03:00:00",3.73395
