ds,y
"2016-01-03",3.97229
"2016-01-04",4.00625
"2016-01-05",4.037
"2016-01-06",3.97799
"2016-01-07",3.9924
"2016-01-10",4.00894
"2016-01-11",4.01734
"2016-01-12",3.99984
"2016-01-13",4.04724
"2016-01-14",4.10754
"2016-01-17",4.09625
"2016-01-18",4.07799
"2016-01-19",4.13339
"2016-01-20",4.13754
"2016-01-21",4.12699
"2016-01-24",4.1249
"2016-01-25",4.09555
"2016-01-26",4.1061
"2016-01-27",4.07694
"2016-01-28",4.07924
"2016-01-31",4.03439
"2016-02-01",4.0397
"2016-02-02",3.98379
"2016-02-03",3.95009
"2016-02-04",3.95361
"2016-02-07",3.9772
"2016-02-08",3.93519
"2016-02-09",3.90515
"2016-02-10",3.9088
"2016-02-11",3.90608
"2016-02-14",3.93308
"2016-02-15",3.95704
"2016-02-16",3.95644
"2016-02-17",3.9561
"2016-02-18",3.92825
"2016-02-21",3.95284
"2016-02-22",3.97424
"2016-02-23",3.96939
"2016-02-24",3.95099
"2016-02-25",4.00083
"2016-02-28",3.99619
"2016-02-29",3.98205
"2016-03-01",3.97424
"2016-03-02",3.9641
"2016-03-03",3.9254
"2016-03-06",3.9325
"2016-03-07",3.93009
"2016-03-08",3.93069
"2016-03-09",3.8762
"2016-03-10",3.8518
"2016-03-13",3.85475
"2016-03-14",3.86185
"2016-03-15",3.82365
"2016-03-16",3.77925
"2016-03-17",3.78393
"2016-03-20",3.79165
"2016-03-21",3.79324
"2016-03-22",3.8141
"2016-03-23",3.82359
"2016-03-24",3.81692
"2016-03-27",3.79519
"2016-03-28",3.76225
"2016-03-29",3.77009
"2016-03-30",3.728
"2016-03-31",3.73153
"2016-04-03",3.72455
"2016-04-04",3.74709
"2016-04-05",3.74449
"2016-04-06",3.77995
"2016-04-07",3.76918
"2016-04-10",3.74799
"2016-04-11",3.76814
"2016-04-12",3.80175
"2016-04-13",3.81655
"2016-04-14",3.80661
"2016-04-17",3.80949
"2016-04-18",3.78409
"2016-04-19",3.77999
"2016-04-20",3.82965
"2016-04-21",3.8863
"2016-04-24",3.91449
"2016-04-25",3.8732
"2016-04-26",3.87149
"2016-04-27",3.87244
"2016-04-28",3.8176
"2016-05-01",3.8028
"2016-05-02",3.82144
"2016-05-03",3.8299
"2016-05-04",3.86489
"2016-05-05",3.88558
"2016-05-08",3.89425
"2016-05-09",3.88464
"2016-05-10",3.87399
"2016-05-11",3.87979
"2016-05-12",3.90033
"2016-05-15",3.8636
"2016-05-16",3.86405
"2016-05-17",3.92219
"2016-05-18",3.93869
"2016-05-19",3.93748
"2016-05-22",3.96329
"2016-05-23",3.97325
"2016-05-24",3.95089
"2016-05-25",3.93584
"2016-05-26",3.94687
"2016-05-29",3.9429
"2016-05-30",3.94174
"2016-05-31",3.91949
"2016-06-01",3.9315
"2016-06-02",3.86182
"2016-06-05",3.83399
"2016-06-06",3.83385
"2016-06-07",3.78945
