ds,y
"2019-01-01 20:00:00",6340.3
"2019-01-02 00:00:00",6291.4
"2019-01-02 04:00:00",6239.7
"2019-01-02 08:00:00",6185.6
"2019-01-02 12:00:00",6316.1
"2019-01-02 16:00:00",6359.9
"2019-01-02 20:00:00",6226.6
"2019-01-03 00:00:00",6218.1
"2019-01-03 04:00:00",6197.8
"2019-01-03 08:00:00",6192.3
"2019-01-03 12:00:00",6200.5
"2019-01-03 16:00:00",6166.6
"2019-01-03 20:00:00",6154.8
"2019-01-04 00:00:00",6184
"2019-01-04 04:00:00",6233.5
"2019-01-04 08:00:00",6261.6
"2019-01-04 12:00:00",6373.5
"2019-01-04 16:00:00",6399.9
"2019-01-04 20:00:00",6415
"2019-01-07 00:00:00",6442.1
"2019-01-07 04:00:00",6443.8
"2019-01-07 08:00:00",6398.5
"2019-01-07 12:00:00",6465.2
"2019-01-07 16:00:00",6472
"2019-01-07 20:00:00",6488.3
"2019-01-08 00:00:00",6504.9
"2019-01-08 04:00:00",6491.4
"2019-01-08 08:00:00",6536.4
"2019-01-08 12:00:00",6471.5
"2019-01-08 16:00:00",6544.7
"2019-01-08 20:00:00",6539.6
"2019-01-09 00:00:00",6588.7
"2019-01-09 04:00:00",6556
"2019-01-09 08:00:00",6569.7
"2019-01-09 12:00:00",6570.6
"2019-01-09 16:00:00",6609.8
"2019-01-09 20:00:00",6586.6
"2019-01-10 00:00:00",6564.6
"2019-01-10 04:00:00",6544.8
"2019-01-10 08:00:00",6548.9
"2019-01-10 12:00:00",6585.2
"2019-01-10 16:00:00",6600.8
"2019-01-10 20:00:00",6611.7
"2019-01-11 00:00:00",6600.9
"2019-01-11 04:00:00",6609.7
"2019-01-11 08:00:00",6595.9
"2019-01-11 12:00:00",6590.6
"2019-01-11 16:00:00",6587
"2019-01-11 20:00:00",6602
"2019-01-14 00:00:00",6537.1
"2019-01-14 04:00:00",6529.1
"2019-01-14 08:00:00",6530.3
"2019-01-14 12:00:00",6560.6
"2019-01-14 16:00:00",6559.9
"2019-01-14 20:00:00",6534.2
"2019-01-15 00:00:00",6582.2
"2019-01-15 04:00:00",6579.7
"2019-01-15 08:00:00",6556.2
"2019-01-15 12:00:00",6637.7
"2019-01-15 16:00:00",6647
"2019-01-15 20:00:00",6662
"2019-01-16 00:00:00",6670.9
"2019-01-16 04:00:00",6671.7
"2019-01-16 08:00:00",6667.8
"2019-01-16 12:00:00",6679.9
"2019-01-16 16:00:00",6680.8
"2019-01-16 20:00:00",6659.1
"2019-01-17 00:00:00",6644.1
"2019-01-17 04:00:00",6611.9
"2019-01-17 08:00:00",6630.2
"2019-01-17 12:00:00",6674.3
"2019-01-17 16:00:00",6706.2
"2019-01-17 20:00:00",6713.7
"2019-01-18 00:00:00",6729.6
"2019-01-18 04:00:00",6721.3
"2019-01-18 08:00:00",6740.3
"2019-01-18 12:00:00",6786.1
"2019-01-18 16:00:00",6775.6
"2019-01-18 20:00:00",6793.6
"2019-01-21 00:00:00",6755.6
"2019-01-21 04:00:00",6758.1
"2019-01-21 08:00:00",6751.6
"2019-01-21 12:00:00",6740.8
"2019-01-21 16:00:00",6750.6
"2019-01-21 20:00:00",6751.8
"2019-01-22 00:00:00",6721.7
"2019-01-22 04:00:00",6719
"2019-01-22 08:00:00",6722
"2019-01-22 12:00:00",6703.9
"2019-01-22 16:00:00",6618.8
"2019-01-22 20:00:00",6641.9
"2019-01-23 00:00:00",6661.1
"2019-01-23 04:00:00",6636.9
"2019-01-23 08:00:00",6666
"2019-01-23 12:00:00",6653.7
"2019-01-23 16:00:00",6625.6
"2019-01-23 20:00:00",6656.7
"2019-01-24 00:00:00",6662.9
"2019-01-24 04:00:00",6664.1
"2019-01-24 08:00:00",6683.4
"2019-01-24 12:00:00",6675.1
"2019-01-24 16:00:00",6686.4
"2019-01-24 20:00:00",6674.3
"2019-01-25 00:00:00",6724.6
"2019-01-25 04:00:00",6722.6
"2019-01-25 08:00:00",6731.8
"2019-01-25 12:00:00",6778.6
"2019-01-25 16:00:00",6782.9
"2019-01-25 20:00:00",6785.7
"2019-01-28 00:00:00",6761.8
"2019-01-28 04:00:00",6753.1
"2019-01-28 08:00:00",6743
"2019-01-28 12:00:00",6666.2
"2019-01-28 16:00:00",6689.4
"2019-01-28 20:00:00",6687.9
"2019-01-29 00:00:00",6662.6
"2019-01-29 04:00:00",6669.3
