ds,y
"2013-11-14",3422.6
"2013-11-18",3378.1
"2013-11-19",3367.2
"2013-11-20",3402.7
"2013-11-21",3422
"2013-11-25",3445.7
"2013-11-26",3470.5
"2013-11-28",3487.8
"2013-12-02",3479.4
"2013-12-03",3483
"2013-12-04",3477.8
"2013-12-05",3504.3
"2013-12-09",3514.2
"2013-12-10",3468.9
"2013-12-11",3460.3
"2013-12-12",3456.4
"2013-12-16",3469.3
"2013-12-17",3509.6
"2013-12-18",3498.6
"2013-12-19",3531.2
"2013-12-23",3572.8
"2013-12-25",3584.6
"2013-12-26",3574
"2013-12-30",3592
"2014-01-01",3563.6
"2014-01-02",3538.7
"2014-01-06",3557.9
"2014-01-07",3567.5
"2014-01-08",3552.5
"2014-01-09",3565.1
"2014-01-13",3580.6
"2014-01-14",3609.8
"2014-01-15",3611.3
"2014-01-16",3591.2
"2014-01-20",3617.7
"2014-01-21",3627.7
"2014-01-22",3613.7
"2014-01-23",3541.5
"2014-01-27",3505.7
"2014-01-28",3467.8
"2014-01-29",3532.5
"2014-01-30",3521.9
"2014-02-03",3470.2
"2014-02-04",3454.9
"2014-02-05",3497.6
"2014-02-06",3561.9
"2014-02-10",3621.7
"2014-02-11",3627.3
"2014-02-12",3659.6
"2014-02-13",3663.9
"2014-02-17",3679.4
"2014-02-18",3652.8
"2014-02-19",3672
"2014-02-20",3662.6
"2014-02-24",3679.2
"2014-02-25",3676.6
"2014-02-26",3699.8
"2014-02-27",3696.1
"2014-03-03",3719.9
"2014-03-04",3727.2
"2014-03-05",3721
"2014-03-06",3703.4
"2014-03-10",3691.5
"2014-03-11",3707.1
"2014-03-12",3651.5
"2014-03-13",3627.9
"2014-03-17",3706.6
"2014-03-18",3682.7
"2014-03-19",3693.9
"2014-03-20",3653.1
"2014-03-24",3629.8
"2014-03-25",3582.9
"2014-03-26",3563.1
"2014-03-27",3571.5
"2014-03-31",3658.4
"2014-04-01",3666
"2014-04-02",3637.6
"2014-04-03",3539.4
"2014-04-07",3538.2
"2014-04-08",3600.5
"2014-04-09",3487.8
"2014-04-10",3446.8
"2014-04-14",3487.9
"2014-04-15",3533.1
"2014-04-16",3534.6
"2014-04-21",3588.8
"2014-04-22",3557
"2014-04-23",3591
"2014-04-24",3533.1
"2014-04-28",3574
"2014-04-29",3582
"2014-04-30",3594.4
"2014-05-01",3587.6
"2014-05-05",3556.5
"2014-05-06",3546.5
"2014-05-07",3540.4
"2014-05-08",3555.7
"2014-05-12",3611.1
"2014-05-13",3593.3
"2014-05-14",3565.2
"2014-05-15",3587.2
"2014-05-19",3600.3
"2014-05-20",3635.6
"2014-05-21",3650.9
"2014-05-22",3677.4
"2014-05-26",3723.1
"2014-05-27",3712.3
"2014-05-28",3735.8
"2014-05-29",3736.8
"2014-06-02",3730.1
"2014-06-03",3743.6
"2014-06-04",3777
"2014-06-05",3794.6
"2014-06-09",3800.9
"2014-06-10",3797.8
"2014-06-11",3763.8
"2014-06-12",3775.5
"2014-06-16",3781.3
"2014-06-17",3804.6
"2014-06-18",3800.8
"2014-06-19",3802.6
"2014-06-23",3799.5
"2014-06-24",3827.3
"2014-06-25",3826.9
"2014-06-26",3844.4
"2014-06-30",3894.3
"2014-07-01",3899.3
"2014-07-02",3923
"2014-07-07",3864.1
"2014-07-08",3892.9
"2014-07-09",3880.1
"2014-07-10",3904.6
"2014-07-14",3914.5
"2014-07-15",3932.3
"2014-07-16",3878
"2014-07-17",3939.9
"2014-07-21",3961.6
"2014-07-22",3986.2
"2014-07-23",3983.2
"2014-07-24",3965.2
"2014-07-28",3959.1
"2014-07-29",3976.1
"2014-07-30",3892.5
"2014-07-31",3879.7
"2014-08-04",3874.9
"2014-08-05",3874.2
"2014-08-06",3857.9
"2014-08-07",3888.1
"2014-08-11",3905.3
"2014-08-12",3949.2
"2014-08-13",3969.1
"2014-08-14",3987.5
"2014-08-18",4040.1
"2014-08-19",4040.7
"2014-08-20",4047
"2014-08-21",4052.7
"2014-08-25",4071.7
"2014-08-26",4073.2
"2014-08-27",4066.3
"2014-08-28",4082.5
"2014-09-01",4095.8
"2014-09-02",4071
"2014-09-03",4066.1
"2014-09-04",4089.9
"2014-09-08",4061.9
"2014-09-09",4095
"2014-09-10",4092.7
"2014-09-11",4069.3
"2014-09-15",4067.2
"2014-09-16",4073.6
"2014-09-17",4103.1
"2014-09-18",4100.1
"2014-09-22",4051.6
"2014-09-23",4094.3
"2014-09-24",4007.8
"2014-09-25",4053.8
"2014-09-29",4049.5
"2014-09-30",3984.7
"2014-10-01",3985.9
"2014-10-02",4027.4
"2014-10-06",3958.6
"2014-10-07",4041.1
"2014-10-08",3969.3
"2014-10-09",3870.8
"2014-10-13",3810.4
"2014-10-14",3786
"2014-10-15",3765.3
"2014-10-16",3815.4
"2014-10-20",3971.3
"2014-10-21",3949.6
"2014-10-22",4012.3
"2014-10-23",4042
"2014-10-27",4106.7
"2014-10-28",4090.5
"2014-10-29",4100.7
"2014-10-30",4158.2
"2014-11-03",4156.3
"2014-11-04",4153.2
"2014-11-05",4164.1
"2014-11-06",4160.5
"2014-11-10",4187.2
"2014-11-11",4195.4
"2014-11-12",4213.5
"2014-11-13",4225
"2014-11-17",4242.2
"2014-11-18",4222.7
"2014-11-19",4242
"2014-11-20",4251.3
"2014-11-24",4288.2
"2014-11-25",4318
"2014-11-27",4337.8
"2014-12-01",4305.9
"2014-12-02",4313
"2014-12-03",4312
"2014-12-04",4311.6
"2014-12-08",4294.7
"2014-12-09",4224.9
"2014-12-10",4246.5
"2014-12-11",4199.3
"2014-12-15",4089.6
"2014-12-16",4165.2
"2014-12-17",4267.8
"2014-12-18",4281.8
"2014-12-22",4279.3
"2014-12-23",4283.1
"2014-12-25",4314.1
"2014-12-29",4282.3
"2014-12-30",4236.3
"2015-01-01",4230.2
"2015-01-05",4110.9
"2015-01-06",4160
"2015-01-07",4240.6
"2015-01-08",4213.3
"2015-01-12",4166.2
"2015-01-13",4145.9
"2015-01-14",4089.6
"2015-01-15",4142.2
"2015-01-19",4171.2
"2015-01-20",4192.1
"2015-01-21",4270.4
"2015-01-22",4278.1
"2015-01-26",4165.5
"2015-01-27",4140.3
"2015-01-28",4181.3
"2015-01-29",4148.4
"2015-02-02",4229.1
"2015-02-03",4221.2
"2015-02-04",4256.2
"2015-02-05",4228.7
"2015-02-09",4281.1
"2015-02-10",4297.3
"2015-02-11",4348
"2015-02-12",4384.1
"2015-02-16",4385.3
"2015-02-17",4390.9
"2015-02-18",4411.8
"2015-02-19",4443.1
"2015-02-23",4451
"2015-02-24",4440.6
"2015-02-25",4462.2
"2015-02-26",4440.7
"2015-03-02",4458.7
"2015-03-03",4445.3
"2015-03-04",4452.1
"2015-03-05",4399.2
"2015-03-09",4329.1
"2015-03-10",4305.3
"2015-03-11",4336.2
"2015-03-12",4314.9
"2015-03-16",4375.6
"2015-03-17",4422.5
"2015-03-18",4426.8
"2015-03-19",4458.5
"2015-03-23",4431
"2015-03-24",4329.3
"2015-03-25",4315.3
"2015-03-26",4332.9
"2015-03-30",4333.6
"2015-03-31",4311.3
"2015-04-01",4316
"2015-04-06",4344.1
"2015-04-07",4375.9
"2015-04-08",4404
"2015-04-09",4422
"2015-04-13",4397.7
"2015-04-14",4424.5
"2015-04-15",4418.8
"2015-04-16",4351.8
"2015-04-20",4436
"2015-04-21",4460.8
"2015-04-22",4477.1
"2015-04-23",4536.7
"2015-04-27",4515.3
"2015-04-28",4488.2
"2015-04-29",4414.2
"2015-04-30",4479.1
"2015-05-04",4409.4
"2015-05-05",4379.8
"2015-05-06",4401.5
"2015-05-07",4458.6
"2015-05-11",4420.6
"2015-05-12",4426.6
"2015-05-13",4495.1
"2015-05-14",4494.3
"2015-05-18",4503.8
"2015-05-19",4505.3
"2015-05-20",4529.5
"2015-05-21",4527.2
"2015-05-25",4472.9
"2015-05-26",4546
"2015-05-27",4535.7
"2015-05-28",4508.2
"2015-06-01",4508.9
"2015-06-02",4519.8
"2015-06-03",4487
"2015-06-04",4477.2
"2015-06-08",4427.6
"2015-06-09",4485.4
"2015-06-10",4488.5
"2015-06-11",4453.8
"2015-06-15",4455.9
"2015-06-16",4469
"2015-06-17",4531.8
"2015-06-18",4513.4
"2015-06-22",4548.7
"2015-06-23",4524.6
"2015-06-24",4514
"2015-06-25",4484.3
"2015-06-29",4396.8
"2015-06-30",4429.2
"2015-07-01",4433.4
"2015-07-06",4429.1
"2015-07-07",4351.6
"2015-07-08",4352.1
"2015-07-09",4420.2
"2015-07-13",4523.5
"2015-07-14",4528.3
"2015-07-15",4594.9
"2015-07-16",4661.6
"2015-07-20",4674.4
"2015-07-21",4623.3
"2015-07-22",4602.9
"2015-07-23",4557.4
"2015-07-27",4560.3
"2015-07-28",4581.6
"2015-07-29",4598.6
"2015-07-30",4588.9
"2015-08-03",4567.5
"2015-08-04",4602.2
"2015-08-05",4528.5
"2015-08-06",4520.1
"2015-08-10",4514
"2015-08-11",4528.2
"2015-08-12",4519.4
"2015-08-13",4530.8
"2015-08-17",4542
"2015-08-18",4510.9
"2015-08-19",4385.1
"2015-08-20",4197.3
"2015-08-24",4016.3
"2015-08-25",4219.6
"2015-08-26",4324.8
"2015-08-27",4329.1
"2015-08-31",4142.6
"2015-09-01",4256.2
"2015-09-02",4234.6
"2015-09-03",4184.7
"2015-09-07",4303.5
"2015-09-08",4253.5
"2015-09-09",4296.3
"2015-09-10",4323.2
"2015-09-14",4360.3
"2015-09-15",4383.7
"2015-09-16",4385
"2015-09-17",4323.9
"2015-09-21",4274.1
"2015-09-22",4273.5
"2015-09-23",4261.2
"2015-09-24",4224.8
"2015-09-28",4083.4
"2015-09-29",4181.1
"2015-09-30",4193
"2015-10-01",4267.5
"2015-10-05",4306.7
"2015-10-06",4333.5
"2015-10-07",4350.2
"2015-10-08",4370
"2015-10-12",4353
"2015-10-13",4346.9
"2015-10-14",4418.2
"2015-10-15",4438.7
"2015-10-19",4438.2
"2015-10-20",4413.5
"2015-10-21",4503.2
"2015-10-22",4624.1
"2015-10-26",4639.2
"2015-10-27",4678.6
"2015-10-28",4670.8
"2015-10-29",4648.8
"2015-11-02",4719
"2015-11-03",4717.6
"2015-11-04",4702.9
"2015-11-05",4707.3
"2015-11-09",4641.7
"2015-11-10",4636.9
"2015-11-11",4589
"2015-11-12",4502.1
"2015-11-16",4565.8
"2015-11-17",4653.4
"2015-11-18",4655.3
"2015-11-19",4686.4
"2015-11-23",4669.4
"2015-11-24",4672.8
"2015-11-26",4680.4
"2015-11-30",4716.1
"2015-12-01",4686.3
"2015-12-02",4606.7
"2015-12-03",4716.1
"2015-12-07",4694.7
"2015-12-08",4622.1
"2015-12-09",4643.1
"2015-12-10",4537.6
"2015-12-14",4597.3
"2015-12-15",4664.6
"2015-12-16",4598.1
"2015-12-17",4514.8
"2015-12-21",4589.2
"2015-12-22",4624.6
"2015-12-23",4622.8
"2015-12-28",4691.1
"2015-12-29",4652
"2015-12-30",4593.3
"2016-01-04",4484.1
"2016-01-05",4444
"2016-01-06",4305.7
"2016-01-07",4270.8
"2016-01-11",4333.8
"2016-01-12",4183.1
"2016-01-13",4272.9
"2016-01-14",4141.1
"2016-01-18",4147.1
"2016-01-19",4136.2
"2016-01-20",4142.6
"2016-01-21",4259.7
"2016-01-25",4233.8
"2016-01-26",4128.8
"2016-01-27",4186.1
"2016-01-28",4279.2
"2016-02-01",4193.1
"2016-02-02",4172
"2016-02-03",4167.7
"2016-02-04",4024.5
"2016-02-08",3947.8
"2016-02-09",3966.3
"2016-02-10",3962.2
"2016-02-11",4019.2
"2016-02-15",4104.3
"2016-02-16",4199.1
"2016-02-17",4151.5
"2016-02-18",4164.1
"2016-02-22",4162.5
"2016-02-23",4200.6
"2016-02-24",4241.1
"2016-02-25",4235.6
"2016-02-29",4333.6
"2016-03-01",4334.4
"2016-03-02",4325.9
"2016-03-03",4329
"2016-03-07",4265.5
"2016-03-08",4293.2
"2016-03-09",4287
"2016-03-10",4361.8
"2016-03-14",4367.1
"2016-03-15",4404.2
"2016-03-16",4400.3
"2016-03-17",4410.8
"2016-03-21",4437.6
"2016-03-22",4402.5
"2016-03-23",4405.5
"2016-03-28",4467.7
"2016-03-29",4490.9
"2016-03-30",4483.7
"2016-03-31",4532.1
"2016-04-04",4470.7
"2016-04-05",4543.8
"2016-04-06",4475.3
"2016-04-07",4475
"2016-04-11",4496.1
"2016-04-12",4554.7
"2016-04-13",4554.7
"2016-04-14",4543.2
"2016-04-18",4537.1
"2016-04-19",4540.4
"2016-04-20",4540.8
"2016-04-21",4474.2
"2016-04-25",4453
"2016-04-26",4416.6
"2016-04-27",4364
"2016-04-28",4341.3
"2016-05-02",4341.4
"2016-05-03",4312
"2016-05-04",4309.5
"2016-05-05",4330.2
"2016-05-09",4402
"2016-05-10",4361
"2016-05-11",4342.8
"2016-05-12",4326.5
"2016-05-16",4322.5
"2016-05-17",4338.2
"2016-05-18",4315.6
"2016-05-19",4362.9
"2016-05-23",4444.3
"2016-05-24",4476.5
"2016-05-25",4488
"2016-05-26",4512.6
"2016-05-30",4523.9
"2016-05-31",4520.1
"2016-06-01",4531.3
"2016-06-02",4509.8
"2016-06-06",4513.1
"2016-06-07",4520.6
"2016-06-08",4512.6
"2016-06-09",4461.1
"2016-06-13",4424.9
"2016-06-14",4409.5
"2016-06-15",4424.2
"2016-06-16",4374.4
"2016-06-20",4413.4
"2016-06-21",4404.8
"2016-06-22",4467.5
"2016-06-23",4285.7
"2016-06-27",4290.5
"2016-06-28",4364.7
"2016-06-29",4417.8
"2016-06-30",4437.5
"2016-07-04",4410.8
"2016-07-05",4444.7
"2016-07-06",4459.5
"2016-07-07",4528.3
"2016-07-11",4577.7
"2016-07-12",4565.7
"2016-07-13",4596.5
"2016-07-14",4589.8
"2016-07-18",4603.3
"2016-07-19",4657.3
"2016-07-20",4647.1
"2016-07-21",4666.1
"2016-07-25",4672.1
"2016-07-26",4702.9
"2016-07-27",4721.4
"2016-07-28",4730.2
"2016-08-01",4719.2
"2016-08-02",4734.4
"2016-08-03",4743.8
"2016-08-04",4791.2
"2016-08-08",4795.7
