ds,y
"2022-05-02 15:30:00",4134.34
"2022-05-02 15:45:00",4138.5
"2022-05-02 16:00:00",4120.76
"2022-05-02 16:15:00",4156.74
"2022-05-02 16:30:00",4153.01
"2022-05-02 16:45:00",4135.76
"2022-05-02 17:00:00",4133.86
"2022-05-02 17:15:00",4116.17
"2022-05-02 17:30:00",4116.38
"2022-05-02 17:45:00",4128.38
"2022-05-02 18:00:00",4118.49
"2022-05-02 18:15:00",4125.97
"2022-05-02 18:30:00",4117.37
"2022-05-02 18:45:00",4101.22
"2022-05-02 19:00:00",4108.74
"2022-05-02 19:15:00",4097.81
"2022-05-02 19:30:00",4088.29
"2022-05-02 19:45:00",4087.88
"2022-05-02 20:00:00",4074.14
"2022-05-02 20:15:00",4074.93
"2022-05-02 20:30:00",4066.31
"2022-05-02 20:45:00",4075.65
"2022-05-02 21:00:00",4115.03
"2022-05-02 21:15:00",4130.53
"2022-05-02 21:30:00",4129.43
"2022-05-02 21:45:00",4155.61
"2022-05-02 22:00:00",4155.39
"2022-05-03 15:30:00",4156.89
"2022-05-03 15:45:00",4164.71
"2022-05-03 16:00:00",4162.94
"2022-05-03 16:15:00",4168.37
"2022-05-03 16:30:00",4156.8
"2022-05-03 16:45:00",4164.13
"2022-05-03 17:00:00",4186.13
"2022-05-03 17:15:00",4190.61
"2022-05-03 17:30:00",4189.51
"2022-05-03 17:45:00",4190.33
"2022-05-03 18:00:00",4179.11
"2022-05-03 18:15:00",4178.48
"2022-05-03 18:30:00",4181.21
"2022-05-03 18:45:00",4181.02
"2022-05-03 19:00:00",4193.23
"2022-05-03 19:15:00",4187.96
"2022-05-03 19:30:00",4196.42
"2022-05-03 19:45:00",4187.12
"2022-05-03 20:00:00",4169.23
"2022-05-03 20:15:00",4161.24
"2022-05-03 20:30:00",4166.28
"2022-05-03 20:45:00",4184.8
"2022-05-03 21:00:00",4189.08
"2022-05-03 21:15:00",4177.88
"2022-05-03 21:30:00",4164.53
"2022-05-03 21:45:00",4174.43
"2022-05-03 22:00:00",4175.47
"2022-05-04 15:30:00",4179.91
"2022-05-04 15:45:00",4171.85
"2022-05-04 16:00:00",4160.34
"2022-05-04 16:15:00",4164.37
"2022-05-04 16:30:00",4163.8
"2022-05-04 16:45:00",4161.55
"2022-05-04 17:00:00",4153.83
"2022-05-04 17:15:00",4154.76
"2022-05-04 17:30:00",4155.66
"2022-05-04 17:45:00",4163.77
"2022-05-04 18:00:00",4165.05
"2022-05-04 18:15:00",4181.78
"2022-05-04 18:30:00",4185.1
"2022-05-04 18:45:00",4192.09
"2022-05-04 19:00:00",4185.06
"2022-05-04 19:15:00",4184.96
"2022-05-04 19:30:00",4188.09
"2022-05-04 19:45:00",4193.33
"2022-05-04 20:00:00",4188.31
"2022-05-04 20:15:00",4199.79
"2022-05-04 20:30:00",4207.52
"2022-05-04 20:45:00",4248.01
"2022-05-04 21:00:00",4269.71
"2022-05-04 21:15:00",4281.4
"2022-05-04 21:30:00",4295.83
"2022-05-04 21:45:00",4299.67
"2022-05-04 22:00:00",4300.16
"2022-05-05 15:30:00",4239.4
"2022-05-05 15:45:00",4227.71
"2022-05-05 16:00:00",4208.78
"2022-05-05 16:15:00",4193.26
"2022-05-05 16:30:00",4184.19
"2022-05-05 16:45:00",4178.36
"2022-05-05 17:00:00",4158.79
"2022-05-05 17:15:00",4157.39
"2022-05-05 17:30:00",4165.92
"2022-05-05 17:45:00",4135.7
"2022-05-05 18:00:00",4148.34
"2022-05-05 18:15:00",4151.95
"2022-05-05 18:30:00",4139.48
"2022-05-05 18:45:00",4155.06
"2022-05-05 19:00:00",4156.75
"2022-05-05 19:15:00",4159.56
"2022-05-05 19:30:00",4159.86
"2022-05-05 19:45:00",4146.16
"2022-05-05 20:00:00",4144.7
"2022-05-05 20:15:00",4131.42
"2022-05-05 20:30:00",4133.33
"2022-05-05 20:45:00",4138.98
"2022-05-05 21:00:00",4113.34
"2022-05-05 21:15:00",4112.22
"2022-05-05 21:30:00",4126.88
"2022-05-05 21:45:00",4148.73
"2022-05-05 22:00:00",4146.86
"2022-05-06 15:30:00",4087.26
"2022-05-06 15:45:00",4074.05
"2022-05-06 16:00:00",4090.04
"2022-05-06 16:15:00",4106.24
"2022-05-06 16:30:00",4103.54
"2022-05-06 16:45:00",4138.71
"2022-05-06 17:00:00",4138.37
"2022-05-06 17:15:00",4147.61
"2022-05-06 17:30:00",4118.84
"2022-05-06 17:45:00",4109.51
"2022-05-06 18:00:00",4112.59
"2022-05-06 18:15:00",4129.52
"2022-05-06 18:30:00",4132.66
"2022-05-06 18:45:00",4147.66
"2022-05-06 19:00:00",4137.22
"2022-05-06 19:15:00",4130.97
"2022-05-06 19:30:00",4127.47
"2022-05-06 19:45:00",4111.35
"2022-05-06 20:00:00",4105.06
"2022-05-06 20:15:00",4098.1
"2022-05-06 20:30:00",4090.89
"2022-05-06 20:45:00",4100.36
"2022-05-06 21:00:00",4092.32
"2022-05-06 21:15:00",4097.08
"2022-05-06 21:30:00",4120.96
"2022-05-06 21:45:00",4124.25
"2022-05-06 22:00:00",4123.35
"2022-05-09 15:30:00",4063.07
"2022-05-09 15:45:00",4059.04
"2022-05-09 16:00:00",4053.54
"2022-05-09 16:15:00",4034.17
"2022-05-09 16:30:00",4032.82
"2022-05-09 16:45:00",4018.89
"2022-05-09 17:00:00",4018.46
"2022-05-09 17:15:00",4010.7
"2022-05-09 17:30:00",4024.21
"2022-05-09 17:45:00",4028.31
"2022-05-09 18:00:00",4043.18
"2022-05-09 18:15:00",4041.07
"2022-05-09 18:30:00",4025.58
"2022-05-09 18:45:00",4017.02
"2022-05-09 19:00:00",4011.42
"2022-05-09 19:15:00",4024.95
"2022-05-09 19:30:00",4024.25
"2022-05-09 19:45:00",4014.93
"2022-05-09 20:00:00",4013.81
"2022-05-09 20:15:00",4010.05
"2022-05-09 20:30:00",4010.13
"2022-05-09 20:45:00",4021.11
"2022-05-09 21:00:00",4032.09
"2022-05-09 21:15:00",4005.72
"2022-05-09 21:30:00",3994.79
"2022-05-09 21:45:00",3989.99
"2022-05-09 22:00:00",3991.23
"2022-05-10 15:30:00",4043.86
"2022-05-10 15:45:00",4050.62
"2022-05-10 16:00:00",4044.74
"2022-05-10 16:15:00",4033.88
"2022-05-10 16:30:00",4016.28
"2022-05-10 16:45:00",3999.48
"2022-05-10 17:00:00",3974.55
"2022-05-10 17:15:00",3981.37
"2022-05-10 17:30:00",3988.69
"2022-05-10 17:45:00",3982.28
"2022-05-10 18:00:00",3979.57
"2022-05-10 18:15:00",3972.41
"2022-05-10 18:30:00",3972.58
"2022-05-10 18:45:00",3968.24
"2022-05-10 19:00:00",3980.26
"2022-05-10 19:15:00",3993.92
"2022-05-10 19:30:00",4023.12
"2022-05-10 19:45:00",4040.17
"2022-05-10 20:00:00",4038.25
"2022-05-10 20:15:00",4015.93
"2022-05-10 20:30:00",4031.52
"2022-05-10 20:45:00",4022
"2022-05-10 21:00:00",4026.03
"2022-05-10 21:15:00",4006.94
"2022-05-10 21:30:00",3993.41
"2022-05-10 21:45:00",4001.2
"2022-05-10 22:00:00",4001.04
"2022-05-11 15:30:00",4013.83
"2022-05-11 15:45:00",4030.77
"2022-05-11 16:00:00",4019.29
"2022-05-11 16:15:00",4037.09
"2022-05-11 16:30:00",4046.87
"2022-05-11 16:45:00",4024.87
"2022-05-11 17:00:00",4025.17
"2022-05-11 17:15:00",4028.09
"2022-05-11 17:30:00",4038.42
"2022-05-11 17:45:00",4022.92
"2022-05-11 18:00:00",4014.78
"2022-05-11 18:15:00",3998.35
"2022-05-11 18:30:00",3992.5
"2022-05-11 18:45:00",3979.93
"2022-05-11 19:00:00",3971.81
"2022-05-11 19:15:00",3965.75
"2022-05-11 19:30:00",3955.37
"2022-05-11 19:45:00",3943.96
"2022-05-11 20:00:00",3958.86
"2022-05-11 20:15:00",3968.84
"2022-05-11 20:30:00",3988.11
"2022-05-11 20:45:00",3962.8
"2022-05-11 21:00:00",3956.53
"2022-05-11 21:15:00",3954.69
"2022-05-11 21:30:00",3942.24
"2022-05-11 21:45:00",3935.65
"2022-05-11 22:00:00",3935.19
"2022-05-12 15:30:00",3898.81
"2022-05-12 15:45:00",3892.45
"2022-05-12 16:00:00",3925.46
"2022-05-12 16:15:00",3926.99
"2022-05-12 16:30:00",3919.99
"2022-05-12 16:45:00",3948.22
"2022-05-12 17:00:00",3949.47
"2022-05-12 17:15:00",3937.36
"2022-05-12 17:30:00",3922.17
"2022-05-12 17:45:00",3894.65
"2022-05-12 18:00:00",3899.49
"2022-05-12 18:15:00",3912.61
"2022-05-12 18:30:00",3926.37
"2022-05-12 18:45:00",3911.59
"2022-05-12 19:00:00",3903.68
"2022-05-12 19:15:00",3899.66
"2022-05-12 19:30:00",3884.43
"2022-05-12 19:45:00",3877.19
"2022-05-12 20:00:00",3874.14
"2022-05-12 20:15:00",3876.59
"2022-05-12 20:30:00",3863.48
"2022-05-12 20:45:00",3864.58
"2022-05-12 21:00:00",3869.14
"2022-05-12 21:15:00",3889.4
"2022-05-12 21:30:00",3901.7
"2022-05-12 21:45:00",3931.64
"2022-05-12 22:00:00",3930.09
"2022-05-13 15:30:00",3983.08
