ds,y
"2022-08-01 09:00:00",13497.89
"2022-08-01 09:15:00",13503.78
"2022-08-01 09:30:00",13536.89
"2022-08-01 09:45:00",13520.02
"2022-08-01 10:00:00",13529.61
"2022-08-01 10:15:00",13518.07
"2022-08-01 10:30:00",13515.99
"2022-08-01 10:45:00",13523.16
"2022-08-01 11:00:00",13538.31
"2022-08-01 11:15:00",13516.01
"2022-08-01 11:30:00",13529.52
"2022-08-01 11:45:00",13529.85
"2022-08-01 12:00:00",13536.22
"2022-08-01 12:15:00",13535.53
"2022-08-01 12:30:00",13530.01
"2022-08-01 12:45:00",13537.94
"2022-08-01 13:00:00",13545.9
"2022-08-01 13:15:00",13563.61
"2022-08-01 13:30:00",13565.72
"2022-08-01 13:45:00",13563.41
"2022-08-01 14:00:00",13553.18
"2022-08-01 14:15:00",13554.07
"2022-08-01 14:30:00",13542.21
"2022-08-01 14:45:00",13492.42
"2022-08-01 15:00:00",13495.85
"2022-08-01 15:15:00",13491.64
"2022-08-01 15:30:00",13507.68
"2022-08-01 15:45:00",13511.47
"2022-08-01 16:00:00",13532.77
"2022-08-01 16:15:00",13498
"2022-08-01 16:30:00",13527.11
"2022-08-01 16:45:00",13545.05
"2022-08-01 17:00:00",13491.41
"2022-08-01 17:15:00",13504.41
"2022-08-01 17:30:00",13479.63
"2022-08-02 09:00:00",13369.76
"2022-08-02 09:15:00",13391.3
"2022-08-02 09:30:00",13397.34
"2022-08-02 09:45:00",13406.53
"2022-08-02 10:00:00",13393.43
"2022-08-02 10:15:00",13420.73
"2022-08-02 10:30:00",13388.29
"2022-08-02 10:45:00",13391.67
"2022-08-02 11:00:00",13392.6
"2022-08-02 11:15:00",13394.33
"2022-08-02 11:30:00",13393.96
"2022-08-02 11:45:00",13374.24
"2022-08-02 12:00:00",13371.2
"2022-08-02 12:15:00",13352.77
"2022-08-02 12:30:00",13356.54
"2022-08-02 12:45:00",13355.85
"2022-08-02 13:00:00",13362.7
"2022-08-02 13:15:00",13388.16
"2022-08-02 13:30:00",13397.98
"2022-08-02 13:45:00",13398.39
"2022-08-02 14:00:00",13403.25
"2022-08-02 14:15:00",13398.55
"2022-08-02 14:30:00",13396.04
"2022-08-02 14:45:00",13419.4
"2022-08-02 15:00:00",13453.12
"2022-08-02 15:15:00",13451.61
"2022-08-02 15:30:00",13436.36
"2022-08-02 15:45:00",13440.26
"2022-08-02 16:00:00",13435
"2022-08-02 16:15:00",13445.78
"2022-08-02 16:30:00",13455.92
"2022-08-02 16:45:00",13462
"2022-08-02 17:00:00",13443.38
"2022-08-02 17:15:00",13457.24
"2022-08-02 17:30:00",13449.2
"2022-08-03 09:00:00",13396.91
"2022-08-03 09:15:00",13426.61
"2022-08-03 09:30:00",13419.1
"2022-08-03 09:45:00",13411.55
"2022-08-03 10:00:00",13415.08
"2022-08-03 10:15:00",13446.93
"2022-08-03 10:30:00",13451.53
"2022-08-03 10:45:00",13449.44
"2022-08-03 11:00:00",13481.48
"2022-08-03 11:15:00",13479.25
"2022-08-03 11:30:00",13474.97
"2022-08-03 11:45:00",13479.26
"2022-08-03 12:00:00",13491.86
