ds,y
"1970-01-02",629.09998
"1970-01-05",628.5
"1970-01-06",622.40002
"1970-01-07",623.40002
"1970-01-08",623.79999
"1970-01-09",618.70001
"1970-01-12",612.90002
"1970-01-13",607.29999
"1970-01-14",602.09998
"1970-01-15",591.70001
"1970-01-16",581.79999
"1970-01-19",579.79999
"1970-01-20",580.79999
"1970-01-21",590.20001
"1970-01-22",592.90002
"1970-01-23",590.20001
"1970-01-26",590.79999
"1970-01-27",592.59998
"1970-01-28",593.29999
"1970-01-29",584.5
"1970-01-30",582.20001
"1970-02-02",574.59998
"1970-02-03",571.70001
"1970-02-04",576
"1970-02-05",576.20001
"1970-02-06",583.59998
"1970-02-09",585.5
"1970-02-10",585.5
"1970-02-11",581
"1970-02-12",582.5
"1970-02-13",580.40002
"1970-02-16",576.40002
"1970-02-17",576.40002
"1970-02-18",571.29999
"1970-02-19",576.5
"1970-02-20",576
"1970-02-23",577.40002
"1970-02-24",575.09998
"1970-02-25",569.79999
"1970-02-26",567.59998
"1970-02-27",564.5
"1970-03-02",558.59998
"1970-03-03",549.40002
"1970-03-04",553.40002
"1970-03-05",558.70001
"1970-03-06",561.29999
"1970-03-09",551
"1970-03-10",555.09998
"1970-03-11",560
"1970-03-12",568.5
"1970-03-13",575.29999
"1970-03-16",569.5
"1970-03-17",570.09998
"1970-03-18",569.40002
"1970-03-19",563.59998
"1970-03-20",560.90002
"1970-03-23",557.40002
"1970-03-24",559.20001
"1970-03-25",560.40002
"1970-03-26",567
"1970-03-31",572.70001
"1970-04-01",573.90002
"1970-04-02",574.59998
"1970-04-03",571.79999
"1970-04-06",572.79999
"1970-04-07",579.59998
"1970-04-08",582.70001
"1970-04-09",581.20001
"1970-04-10",580.5
"1970-04-13",575.90002
"1970-04-14",567.20001
"1970-04-15",574.5
"1970-04-16",571.09998
"1970-04-17",561.79999
"1970-04-20",562.29999
"1970-04-21",566.90002
"1970-04-22",562.20001
"1970-04-23",558.29999
"1970-04-24",550.90002
"1970-04-27",540.79999
"1970-04-28",532.59998
"1970-04-29",524.09998
"1970-04-30",532.90002
"1970-05-04",530.79999
"1970-05-05",532.70001
"1970-05-06",537.5
"1970-05-08",534.79999
"1970-05-11",527.29999
"1970-05-12",521
"1970-05-13",511
"1970-05-14",502.29999
"1970-05-15",494
"1970-05-19",491.20001
"1970-05-20",479.79999
"1970-05-21",467.79999
"1970-05-22",467.20001
"1970-05-25",459.70001
"1970-05-26",445.89999
"1970-05-27",444.60001
"1970-05-29",485.79999
"1970-06-01",473.79999
"1970-06-02",487.39999
"1970-06-03",494
"1970-06-04",498.20001
"1970-06-05",483.89999
"1970-06-08",481
"1970-06-09",485.79999
"1970-06-10",484.39999
"1970-06-11",490.39999
"1970-06-12",492.10001
"1970-06-15",489.79999
"1970-06-16",489.10001
"1970-06-18",483.70001
"1970-06-19",484
"1970-06-22",482.20001
"1970-06-23",476.5
"1970-06-24",467.70001
"1970-06-25",469.79999
"1970-06-26",471
"1970-06-29",464.79999
"1970-06-30",464.79999
"1970-07-01",466.20001
"1970-07-02",463.39999
"1970-07-03",461.60001
"1970-07-06",457.5
"1970-07-07",455.89999
"1970-07-08",469.89999
"1970-07-09",468.70001
"1970-07-10",474.10001
"1970-07-13",485.79999
"1970-07-14",481.5
"1970-07-15",479.60001
"1970-07-16",490.70001
"1970-07-17",484.79999
"1970-07-20",477.29999
"1970-07-21",473.60001
"1970-07-22",478
"1970-07-23",478.10001
"1970-07-24",484.70001
"1970-07-27",481.70001
"1970-07-28",482.39999
"1970-07-29",489.70001
"1970-07-30",490.60001
"1970-07-31",492.5
"1970-08-03",497.20001
"1970-08-04",494.70001
"1970-08-05",499.10001
"1970-08-06",502.79999
"1970-08-07",504.20001
"1970-08-10",509.5
"1970-08-11",508.20001
"1970-08-12",513.70001
"1970-08-13",509.89999
"1970-08-17",495.60001
"1970-08-18",497.79999
"1970-08-19",497.70001
"1970-08-20",499.39999
"1970-08-21",502.5
"1970-08-24",507.29999
"1970-08-25",504.20001
"1970-08-26",502
"1970-08-27",499
"1970-08-28",498.5
"1970-08-31",496.60001
"1970-09-01",494.10001
"1970-09-02",497.79999
"1970-09-03",496.70001
"1970-09-04",495.79999
"1970-09-07",494
"1970-09-08",492.29999
"1970-09-09",489.79999
"1970-09-10",487
"1970-09-11",484
"1970-09-14",479.20001
"1970-09-15",480.29999
"1970-09-16",474.10001
"1970-09-17",473.70001
"1970-09-18",477.60001
"1970-09-21",474.60001
"1970-09-22",476.70001
"1970-09-23",478.89999
"1970-09-24",486.29999
"1970-09-25",489.70001
"1970-09-28",490.10001
"1970-09-29",486.89999
"1970-09-30",486.70001
"1970-10-01",479.70001
"1970-10-02",478.5
"1970-10-05",482
"1970-10-06",482.20001
"1970-10-07",479.39999
"1970-10-08",475.70001
"1970-10-09",476.10001
"1970-10-12",470
"1970-10-13",466.5
"1970-10-14",469.10001
"1970-10-15",471.29999
"1970-10-16",471.5
"1970-10-19",472.5
"1970-10-20",476
"1970-10-21",485.20001
"1970-10-22",478.10001
"1970-10-23",489.20001
"1970-10-26",491.39999
"1970-10-27",490.5
"1970-10-28",481.29999
"1970-10-29",482.79999
"1970-10-30",477.20001
"1970-11-02",474.20001
"1970-11-03",476.20001
"1970-11-04",477.70001
"1970-11-05",476.39999
"1970-11-06",476.60001
"1970-11-09",472.39999
"1970-11-10",472.20001
"1970-11-11",476.20001
"1970-11-12",471.39999
"1970-11-13",463.89999
"1970-11-16",461.79999
"1970-11-17",463.89999
"1970-11-19",453.5
"1970-11-20",448.70001
"1970-11-23",445.79999
"1970-11-24",447
"1970-11-25",451.70001
"1970-11-26",458.10001
"1970-11-27",459.5
"1970-11-30",458.20001
"1970-12-01",461.70001
"1970-12-02",459.70001
"1970-12-03",458.79999
"1970-12-04",455.29999
"1970-12-07",447.79999
"1970-12-08",447.79999
"1970-12-09",451.60001
"1970-12-10",454.5
"1970-12-11",459.29999
"1970-12-14",453.89999
"1970-12-15",453.79999
"1970-12-16",452.39999
"1970-12-17",451.79999
"1970-12-18",451
"1970-12-21",444.60001
"1970-12-22",444.39999
"1970-12-23",448.5
"1970-12-28",447.39999
"1970-12-29",444.89999
"1970-12-30",446.20001
"1970-12-31",443.89999
"1971-01-04",444.20001
"1971-01-05",451.20001
"1971-01-06",458
"1971-01-07",464.10001
"1971-01-08",471.39999
"1971-01-11",475.39999
"1971-01-12",477.60001
"1971-01-13",487.29999
"1971-01-14",481.60001
"1971-01-15",486.29999
"1971-01-18",483.39999
"1971-01-19",490.10001
"1971-01-20",489.89999
"1971-01-21",484.89999
"1971-01-22",489.5
"1971-01-25",498.5
"1971-01-26",499.60001
"1971-01-27",502.5
"1971-01-28",509.60001
"1971-01-29",511.89999
"1971-02-01",506.89999
"1971-02-02",506.89999
"1971-02-03",501.20001
"1971-02-04",500.39999
"1971-02-05",508.39999
"1971-02-08",509.70001
"1971-02-09",506.29999
"1971-02-10",502
"1971-02-11",503.89999
"1971-02-12",513
"1971-02-15",533
"1971-02-16",540.29999
"1971-02-17",535.90002
"1971-02-18",531.29999
"1971-02-19",533.79999
"1971-02-22",542.20001
"1971-02-23",537
"1971-02-24",531.5
"1971-02-25",527.29999
"1971-02-26",533.5
"1971-03-01",531.79999
"1971-03-02",527.90002
"1971-03-03",528.70001
"1971-03-04",529.90002
"1971-03-05",536.70001
"1971-03-08",538.5
"1971-03-09",539.59998
"1971-03-10",536.79999
"1971-03-11",534.20001
"1971-03-12",538.5
"1971-03-15",533
"1971-03-16",540.70001
"1971-03-17",538.40002
"1971-03-18",532.29999
"1971-03-19",525.90002
"1971-03-22",524
"1971-03-23",523.79999
"1971-03-24",530.5
"1971-03-25",537.90002
"1971-03-26",540.20001
"1971-03-29",538.40002
"1971-03-30",537.40002
"1971-03-31",538.5
"1971-04-01",541.59998
"1971-04-02",540.79999
"1971-04-05",540.79999
"1971-04-06",535.79999
"1971-04-07",537.09998
"1971-04-08",539.59998
"1971-04-13",538.79999
"1971-04-14",532.79999
"1971-04-15",527.40002
"1971-04-16",527.09998
"1971-04-19",518.79999
"1971-04-20",516.5
"1971-04-21",514.90002
"1971-04-22",507.20001
"1971-04-23",498.29999
"1971-04-26",497.79999
"1971-04-27",506.29999
"1971-04-28",516.90002
"1971-04-29",508.89999
"1971-04-30",503.89999
"1971-05-03",501.20001
"1971-05-04",500.20001
"1971-05-05",494.79999
"1971-05-06",497.79999
"1971-05-07",498.39999
"1971-05-10",491.29999
"1971-05-11",493.60001
"1971-05-12",500.20001
"1971-05-13",505.39999
"1971-05-14",504.20001
"1971-05-17",499.10001
"1971-05-18",498.60001
"1971-05-19",498.60001
"1971-05-21",496.79999
"1971-05-24",499.79999
"1971-05-25",501.10001
"1971-05-26",503.60001
"1971-05-27",511.29999
"1971-05-28",515.59998
"1971-06-01",518.20001
"1971-06-02",511
"1971-06-03",503.29999
"1971-06-04",505.79999
"1971-06-07",502.29999
"1971-06-08",500.70001
"1971-06-09",499.29999
"1971-06-11",505.29999
"1971-06-14",514.5
"1971-06-15",511.39999
"1971-06-16",513.90002
"1971-06-18",511.20001
"1971-06-21",505.20001
"1971-06-22",503.29999
"1971-06-23",503
"1971-06-24",499.5
"1971-06-25",499.5
"1971-06-28",501.79999
"1971-06-29",507.10001
"1971-06-30",506.20001
"1971-07-01",508.60001
"1971-07-02",511.70001
"1971-07-05",513
"1971-07-06",510
"1971-07-07",511.5
"1971-07-08",513.79999
"1971-07-09",515.20001
"1971-07-12",518
"1971-07-13",517
"1971-07-14",513.90002
"1971-07-15",515.5
"1971-07-16",516.70001
"1971-07-19",514.90002
"1971-07-20",515
"1971-07-21",516.29999
"1971-07-22",517.20001
"1971-07-23",515
"1971-07-26",516.29999
"1971-07-27",516.40002
"1971-07-28",517.59998
"1971-07-29",522
"1971-07-30",523.70001
"1971-08-02",521.59998
"1971-08-03",524.70001
"1971-08-04",526.40002
"1971-08-05",522.29999
"1971-08-06",525
"1971-08-09",522.29999
"1971-08-10",516.79999
"1971-08-11",516.5
"1971-08-12",517.09998
"1971-08-13",514.20001
"1971-08-16",506.10001
"1971-08-17",497.29999
"1971-08-18",503.5
"1971-08-19",505.79999
"1971-08-20",506.29999
"1971-08-23",509.10001
"1971-08-24",511.5
"1971-08-25",508.39999
"1971-08-26",506.20001
"1971-08-27",504.10001
"1971-08-30",500.5
"1971-08-31",499.79999
"1971-09-01",497
"1971-09-02",497.20001
"1971-09-03",495.79999
"1971-09-06",491.20001
"1971-09-07",490.89999
"1971-09-08",487.10001
"1971-09-09",478.39999
"1971-09-10",472.79999
"1971-09-13",471.20001
"1971-09-14",469.29999
"1971-09-15",469.10001
"1971-09-16",467.5
"1971-09-17",466.60001
"1971-09-20",460.5
"1971-09-21",456.10001
"1971-09-22",455.39999
"1971-09-23",460.20001
"1971-09-24",461.79999
"1971-09-27",471.5
"1971-09-28",472.89999
"1971-09-29",476.70001
"1971-09-30",480
"1971-10-01",485.10001
"1971-10-04",477.20001
"1971-10-05",471.5
"1971-10-06",469.29999
"1971-10-07",468.89999
"1971-10-08",471
"1971-10-11",468.10001
"1971-10-12",474.29999
