Date,Low,High,Close,Open
"2021-06-16",2142.53,2578.98,2365.41,2493.19
"2021-06-17",2305.16,2459.45,2371.38,2365.2
"2021-06-18",2135.8,2375.67,2231.6,2371.52
"2021-06-19",2160.6,2279.6,2163.72,2231.89
"2021-06-20",2040.75,2276.5,2242.78,2164.38
"2021-06-21",1864.95,2261.6,1884.92,2242.88
"2021-06-22",1700,1996.64,1878.85,1884.67
"2021-06-23",1821.37,2043.85,1966.11,1877.32
"2021-06-24",1884.43,2035.62,1988.65,1966.85
"2021-06-25",1788.11,2019.23,1808.59,1990
"2021-06-26",1715.8,1851.1,1829.25,1808.57
"2021-06-27",1805.02,1983.7,1981,1829
"2021-06-28",1960.41,2145.99,2083.04,1980.77
"2021-06-29",2073.18,2244,2164.62,2083.14
"2021-06-30",2088.89,2288.54,2274.25,2164.35
"2021-07-01",2061.2,2274.46,2106.13,2274.39
"2021-07-02",2016.97,2158.86,2152.37,2106.03
"2021-07-03",2112.16,2238.2,2226.48,2152.79
"2021-07-04",2188.7,2388.92,2321.83,2226.78
"2021-07-05",2156,2323.25,2195.08,2321.83
"2021-07-06",2189.1,2348.92,2321.94,2195.16
"2021-07-07",2292.76,2409.65,2315.24,2321.85
"2021-07-08",2084.27,2324.15,2114.9,2315.2
"2021-07-09",2046.77,2189.2,2147.18,2115.08
"2021-07-10",2073.88,2194.04,2110.11,2147.18
"2021-07-11",2080.69,2174,2140.22,2110.18
"2021-07-12",2006.03,2167.28,2031.33,2140.28
"2021-07-13",1915.99,2046.1,1940.43,2031.73
"2021-07-14",1862.26,2018.44,1994.35,1940.14
"2021-07-15",1880,2040.49,1919.4,1994.16
"2021-07-16",1847.6,1965.2,1876.4,1919.05
"2021-07-17",1843.3,1920,1898.33,1876.39
"2021-07-18",1875.23,1994.6,1890.37,1898.51
"2021-07-19",1802.47,1917.6,1818.17,1890.52
"2021-07-20",1716.55,1841.79,1784.69,1818.19
"2021-07-21",1752.88,2034.97,1995.12,1784.8
"2021-07-22",1944.39,2046.51,2023.43,1995.12
"2021-07-23",1993,2131.93,2124.12,2023.82
"2021-07-24",2105.31,2197.83,2183.7,2124.18
