Date,Low,High,Close,Open
"2022-01-03",4779.7,4785.3,4783.3,4783.2
"2022-01-03",4782.8,4792,4791,4783.4
"2022-01-03",4784.2,4793,4785.5,4791.3
"2022-01-03",4783.2,4787.5,4787.1,4785.3
"2022-01-03",4783.8,4787.8,4785.8,4787.3
"2022-01-03",4784.7,4786.1,4786.1,4785.9
"2022-01-03",4785.1,4787.3,4786.3,4786.3
"2022-01-03",4780.2,4787,4784.3,4786.2
"2022-01-03",4779.3,4785.3,4784.3,4784.4
"2022-01-03",4783.1,4787.6,4783.8,4783.9
"2022-01-03",4781.5,4790.3,4790,4784
"2022-01-03",4788.9,4795.3,4795.1,4790.3
"2022-01-03",4795.1,4798.8,4798,4795.1
"2022-01-03",4791.5,4798.1,4792,4798
"2022-01-03",4782.7,4792.8,4783.2,4792
"2022-01-03",4755.4,4794.1,4767.4,4783
"2022-01-03",4765.7,4785.7,4779.5,4766.9
"2022-01-03",4762.4,4780.4,4771.2,4779.7
"2022-01-03",4768.2,4777.8,4774.4,4770.9
"2022-01-03",4771.6,4785.9,4785.6,4774.3
"2022-01-03",4784.4,4795.3,4790.6,4785.4
"2022-01-03",4784.5,4796.5,4796,4790.6
"2022-01-03",4793.4,4797,4793.9,4795.3
"2022-01-04",4791.1,4795.9,4792.1,4794.6
"2022-01-04",4790.1,4794.8,4793.1,4791.9
"2022-01-04",4791.4,4795.6,4793.4,4792.9
"2022-01-04",4792.9,4798.2,4797.9,4793.6
"2022-01-04",4796,4799.7,4798.9,4798.1
"2022-01-04",4798.7,4803.9,4803.4,4799.2
"2022-01-04",4803.4,4806.9,4806.2,4803.6
"2022-01-04",4804.4,4807.4,4805.4,4806.4
"2022-01-04",4802.1,4806.4,4806.1,4804.9
"2022-01-04",4801.6,4806.4,4802.3,4805.9
"2022-01-04",4802.1,4805.4,4805.4,4802.1
"2022-01-04",4805.6,4814.1,4812.9,4805.6
"2022-01-04",4811.4,4816.4,4812.1,4812.6
"2022-01-04",4804.1,4812.6,4808.1,4811.9
"2022-01-04",4807.1,4813.8,4811.6,4807.9
"2022-01-04",4808.5,4817.2,4814.4,4811.9
"2022-01-04",4793.6,4815.8,4795.1,4814.2
"2022-01-04",4782.8,4798.1,4793.1,4794.8
"2022-01-04",4784.8,4797.3,4785.8,4792.9
"2022-01-04",4773.7,4790.8,4775,4785.5
"2022-01-04",4774.5,4793,4791.8,4774.8
"2022-01-04",4791.3,4807.2,4793,4791.8
"2022-01-04",4790.1,4794.1,4792.7,4793.2
"2022-01-05",4785.8,4793,4786.8,4791.9
"2022-01-05",4783.1,4787.8,4785.6,4787
"2022-01-05",4778.5,4789.8,4781.1,4785.8
"2022-01-05",4779.8,4783.6,4782.3,4780.8
"2022-01-05",4780.1,4783.1,4782.4,4782.5
"2022-01-05",4780.1,4783.1,4781.4,4782.6
"2022-01-05",4775.8,4781.9,4777.1,4781.3
"2022-01-05",4775.6,4784.6,4783.3,4777.1
"2022-01-05",4781.8,4789.1,4787.6,4783.5
"2022-01-05",4784.6,4790.5,4786.6,4787.8
"2022-01-05",4785.8,4794.3,4792.4,4786.8
"2022-01-05",4789.8,4796.3,4790.6,4792.4
"2022-01-05",4787.1,4791.1,4789.6,4790.5
"2022-01-05",4785.8,4792.3,4787.8,4789.5
"2022-01-05",4783.9,4792.6,4791.1,4788.3
"2022-01-05",4778.9,4793.9,4789.3,4791.3
"2022-01-05",4784.9,4797.2,4790.4,4789.4
"2022-01-05",4780.5,4791.2,4782.8,4790.4
"2022-01-05",4776,4789.8,4776.8,4782.5
"2022-01-05",4770.2,4778.5,4775.4,4776.5
"2022-01-05",4728.4,4785.9,4733.9,4775.5
"2022-01-05",4699.9,4733.9,4701.7,4733.4
"2022-01-05",4698,4707.8,4700.6,4703
"2022-01-06",4690.5,4707.3,4706.5,4701.7
"2022-01-06",4700.2,4711.2,4706.5,4706.3
"2022-01-06",4697.6,4711.2,4706.7,4706.8
"2022-01-06",4696.5,4707.1,4702,4707
"2022-01-06",4681.7,4702.5,4682.5,4701.9
"2022-01-06",4676.5,4684.2,4677.5,4682.7
"2022-01-06",4676.5,4685,4683.2,4677.3
"2022-01-06",4677.1,4686.3,4684.5,4683.4
"2022-01-06",4683.7,4705,4695.7,4684.3
"2022-01-06",4687.5,4704,4700.4,4695.7
"2022-01-06",4692,4702,4698.5,4700.7
"2022-01-06",4697,4710.7,4703.7,4698.7
"2022-01-06",4696.5,4708,4698.7,4703.9
"2022-01-06",4695,4705.5,4699,4698.5
"2022-01-06",4697.2,4706.2,4701.2,4699.2
"2022-01-06",4684.4,4720.4,4685.2,4701
"2022-01-06",4670.9,4713.4,4703.7,4685.4
"2022-01-06",4696.7,4716.2,4708.3,4703.4
