Date,Low,High,Close,Open
"2014-06-23",1957.9,1967,1959.9,1960.9
"2014-06-24",1947.6,1967.6,1950.1,1960.1
"2014-06-25",1945.1,1960.9,1956.6,1950.4
"2014-06-26",1944.1,1960.1,1956.9,1956.9
"2014-06-27",1950.4,1961.6,1959.9,1956.6
"2014-06-30",1955.9,1964.1,1961.9,1960.4
"2014-07-01",1962.9,1979.4,1973.9,1963.9
"2014-07-02",1972.4,1977.6,1975.9,1973.8
"2014-07-03",1973.9,1985.9,1985.4,1976.1
"2014-07-04",1981.4,1984.4,1982.1,1984.1
"2014-07-07",1974.1,1984.1,1977.1,1982.9
"2014-07-08",1959.6,1977.6,1965.9,1977.4
"2014-07-09",1964.1,1973.9,1973.4,1966.1
"2014-07-10",1951.1,1973.7,1962.6,1973.6
"2014-07-11",1958.9,1969.4,1968.1,1962.9
"2014-07-14",1968.4,1979.6,1976.9,1968.4
"2014-07-15",1964.6,1982.1,1973.9,1977.1
"2014-07-16",1972.9,1983.6,1977.9,1974
"2014-07-17",1954.4,1981.9,1954.9,1977.8
"2014-07-18",1948.4,1979.9,1977.4,1955.1
"2014-07-21",1964.9,1977.1,1971.4,1976.4
"2014-07-22",1971.1,1986.1,1978.4,1971.5
"2014-07-23",1978,1989.1,1986.9,1978.3
"2014-07-24",1982.6,1991.4,1985.1,1987.1
"2014-07-25",1973.9,1986.4,1976.9,1984.9
"2014-07-28",1966.6,1981.6,1977.9,1977.4
"2014-07-29",1967.9,1985.1,1970.5,1977.6
"2014-07-30",1962.5,1980,1969.7,1970.2
"2014-07-31",1928.4,1970.2,1929.1,1970
"2014-08-01",1915.1,1936.9,1923.1,1929.4
"2014-08-04",1919.6,1942.4,1936.6,1924.4
"2014-08-05",1912.4,1937.9,1918.6,1936.4
"2014-08-06",1907.9,1928.1,1919.9,1918.5
"2014-08-07",1903.6,1929.4,1907.9,1919.6
"2014-08-08",1894.1,1931.9,1927.4,1908.1
"2014-08-11",1927.6,1944.6,1937.1,1927.7
"2014-08-12",1927.4,1942.1,1936.1,1936.9
"2014-08-13",1934.6,1950.1,1949.9,1936
"2014-08-14",1945.9,1958.4,1957.9,1949.3
"2014-08-15",1940.1,1963.6,1955.4,1957.5
"2014-08-18",1959.6,1971.6,1971.4,1961.4
"2014-08-19",1971.1,1982.4,1980.1,1971.1
"2014-08-20",1975.9,1988.6,1985.9,1980.2
"2014-08-21",1983.4,1994.6,1992.6,1985.8
"2014-08-22",1984.4,1994.1,1990.9,1992.9
"2014-08-25",1990.5,2002.4,1997.4,1990.5
"2014-08-26",1995.1,2005.4,2001.6,1997
"2014-08-27",1996.4,2003.1,1999.6,2000.6
"2014-08-28",1989.9,2000.9,2000.9,1999.2
"2014-08-29",1994.6,2005.9,2002.1,2001
"2014-09-01",1999.1,2003.1,2002.1,2001.9
"2014-09-02",1994.6,2008.1,2002.6,2001.9
"2014-09-03",1998.1,2012.6,2000.6,2002.5
"2014-09-04",1992.4,2011.6,2001.4,2000.9
"2014-09-05",1990.1,2008.1,2007.6,2001.1
"2014-09-08",1995.9,2007.9,2003.1,2007.1
"2014-09-09",1985.1,2004.6,1991.1,2003
"2014-09-10",1983.4,1997.9,1997.1,1990.9
"2014-09-11",1986.9,2000.9,2000.9,1996.7
"2014-09-12",1981.4,2000.9,1986.5,2000.8
"2014-09-15",1978.3,1988.9,1986.4,1980.4
"2014-09-16",1980.4,2004.1,2001.6,1986.2
"2014-09-17",1993.4,2012.6,2004.1,2001.7
"2014-09-18",2002.9,2014.9,2014.1,2003.9
"2014-09-19",2006.1,2022.1,2011.1,2013.9
"2014-09-22",1990.4,2010.9,1992.6,2010.4
"2014-09-23",1976.1,1995.6,1976.1,1992.4
"2014-09-24",1976.3,2000.1,1998.4,1976.3
"2014-09-25",1965.6,1999.1,1968.9,1998.2
"2014-09-26",1964.4,1986.9,1984.1,1968.7
"2014-09-29",1963.4,1984.9,1976.4,1981.4
"2014-09-30",1968.6,1985.9,1969.4,1976.1
"2014-10-01",1941.6,1974.6,1949.4,1969.1
"2014-10-02",1925.1,1952.4,1945.1,1949.6
"2014-10-03",1942.4,1971.1,1967.4,1944.9
"2014-10-06",1957.4,1977.6,1960.9,1969.9
"2014-10-07",1931.4,1962.9,1931.9,1960.6
"2014-10-08",1924.9,1970.6,1969.6,1931.6
"2014-10-09",1922.5,1975.1,1924.9,1969.5
"2014-10-10",1900.1,1937.9,1900.1,1924.6
"2014-10-13",1870.6,1911.6,1871.1,1894.1
"2014-10-14",1869.6,1898.4,1883.6,1871
"2014-10-15",1818.9,1888.9,1851.4,1883.4
"2014-10-16",1822.4,1876.4,1857.6,1851.6
"2014-10-17",1856.9,1898.4,1887.4,1857.5
"2014-10-20",1879.1,1909.1,1908.4,1893.6
"2014-10-21",1892.6,1946.1,1945.9,1908.6
"2014-10-22",1927.1,1950.1,1931.4,1946.1
"2014-10-23",1929.1,1962.9,1953.1,1931.6
"2014-10-24",1938.6,1966.9,1966.4,1953.4
"2015-03-30",2055.3,2089.3,2082,2060.5
"2015-03-31",2064,2084.3,2066.3,2081.8
"2015-04-01",2041.4,2068.3,2061.8,2066.1
"2015-04-02",2051.8,2072.3,2068.5,2062.1
"2015-04-03",2045.8,2071.3,2047,2068.3
"2015-04-06",2046.5,2087.5,2080,2050
"2015-04-07",2073.8,2090.3,2075.8,2079.8
"2015-04-08",2072.3,2087.8,2084.3,2075.6
"2015-04-09",2074.5,2094.5,2092.5,2084.1
"2015-04-10",2090.8,2103.5,2103.3,2092.3
"2015-04-13",2093,2108.8,2094.3,2102.8
"2015-04-14",2083,2100,2098,2094.1
"2015-04-15",2094.5,2112.5,2108,2097.9
"2015-04-16",2096.5,2111.8,2107.8,2107.8
"2015-04-17",2071.5,2108.8,2082.8,2107.6
"2015-04-20",2085.8,2104.5,2097.8,2088
"2015-04-21",2094.8,2112.3,2098.8,2097.6
"2015-04-22",2086.3,2109.5,2105.5,2098.6
"2015-04-23",2093.8,2120.5,2113.5,2105.3
"2015-04-24",2109.3,2120.8,2117.8,2113.7
"2015-04-27",2106.5,2125.8,2109.5,2119
"2015-04-28",2094.3,2118.5,2118,2109.7
"2015-04-29",2096.8,2118.8,2104.5,2117.8
"2015-04-30",2076.5,2108,2088.5,2104.3
"2015-05-01",2086.8,2108.5,2108,2088.7
"2015-05-04",2104.3,2121,2115.5,2107.3
"2015-05-05",2087.8,2117.8,2090,2115.8
"2015-05-06",2066,2098.3,2079.8,2090.3
"2015-05-07",2061.8,2092.8,2088.3,2079.5
"2015-05-08",2088.5,2118,2113.3,2088.5
"2015-05-11",2100.5,2118,2101.5,2114
"2015-05-12",2084,2105.5,2100.3,2101.7
"2015-05-13",2095.8,2110.5,2100.5,2100.1
"2015-05-14",2096.3,2122.3,2121.8,2100.3
"2015-05-15",2116.8,2126.3,2122.8,2121.6
"2015-05-18",2116,2131.8,2129.8,2121.5
"2015-05-19",2124.5,2137,2125.8,2129.9
"2015-05-20",2122,2134.8,2124.3,2125.5
"2015-05-21",2117.8,2134.5,2131.3,2124
"2015-05-22",2125.5,2133.5,2127.3,2131.5
"2015-05-25",2121.3,2129.5,2125.5,2127
"2015-05-26",2098.8,2127,2107.5,2125.8
"2015-05-27",2103.5,2126.3,2122,2107.7
"2015-05-28",2112.5,2124.8,2124.5,2122.1
"2015-05-29",2104.5,2124.8,2109.8,2124.7
"2015-06-01",2102.5,2119.8,2113,2108
"2015-06-02",2096,2117.5,2108.5,2112.8
"2015-06-03",2108.3,2122.5,2117.5,2108.3
"2015-06-04",2093,2118,2100.5,2117.4
"2015-06-05",2085.3,2104.5,2094,2100.4
"2015-06-08",2078,2095,2081.5,2093.3
"2015-06-09",2070.5,2086.3,2082.5,2081.2
"2015-06-10",2081.4,2109.5,2108.3,2082.3
"2015-06-11",2104,2115.3,2110.5,2107.2
"2015-06-12",2090.9,2110.9,2094,2110.3
"2015-06-15",2072,2090.4,2084.5,2085
"2015-06-16",2071,2098.9,2098.5,2084.3
"2015-06-17",2087.9,2107.8,2097,2098.4
"2015-06-18",2090.8,2127.4,2122,2096.8
"2015-06-19",2105,2125.3,2105.3,2122.2
"2015-06-22",2112.8,2129.5,2122.5,2113
"2015-06-23",2119,2128,2124.5,2122.7
"2015-06-24",2106.5,2126,2108.3,2124.7
"2015-06-25",2099.9,2120.3,2101.4,2108.5
"2015-06-26",2094.1,2108.4,2103.6,2101.6
"2015-06-29",2055.1,2090.6,2060.9,2074.1
"2015-06-30",2055.1,2076.6,2064.9,2060.9
"2015-07-01",2062.6,2085.4,2079.8,2065.1
"2015-07-02",2070.4,2087.3,2077,2079.7
"2015-07-03",2071.5,2080,2072.5,2076.9
"2015-07-06",2042.8,2078.5,2075.3,2046.8
"2015-07-07",2043.3,2086,2081.5,2075.4
"2015-07-08",2044,2081.5,2046.5,2081.3
"2015-07-09",2045.9,2075.5,2049.5,2046.6
"2015-07-10",2048.4,2081.8,2077,2049.3
"2015-07-13",2063.8,2101.3,2100.5,2065
"2015-07-14",2097.3,2112,2109.5,2100.3
"2015-07-15",2101.8,2114.3,2111,2109.4
"2015-07-16",2109.5,2125,2123.3,2111.2
"2015-07-17",2119.5,2126.5,2125.8,2123.2
"2015-07-20",2123.3,2132.8,2128.3,2124.9
"2015-07-21",2113.8,2131.5,2115,2128.5
"2015-07-22",2109,2118.5,2117,2114.8
"2015-07-23",2098,2120.4,2107.8,2116.8
"2015-07-24",2076.5,2110.5,2084.8,2107.6
"2015-07-27",2063.3,2087.3,2071,2084.3
"2015-07-28",2068.3,2095.5,2094.8,2071.1
"2015-07-29",2091,2110.8,2106.8,2094.4
"2015-07-30",2094.5,2110.5,2110,2106.7
"2015-07-31",2102,2115.8,2107.3,2109.5
"2015-08-03",2086.8,2109,2098,2105.5
"2015-08-04",2088.3,2102.8,2090.5,2097.7
"2015-08-05",2088.8,2113.5,2101,2089.5
"2015-08-06",2075.4,2104.4,2085.1,2101.1
"2015-08-07",2067.4,2087.9,2078.6,2084.6
"2015-08-10",2077.1,2106.4,2105.9,2078.1
"2015-08-11",2075.6,2106.4,2085.4,2105.6
"2015-08-12",2051.4,2089.9,2088.4,2085.3
"2015-08-13",2077.6,2097.1,2085.1,2088
"2015-08-14",2077.9,2093.9,2093.9,2085.2
"2015-08-17",2078.4,2104.1,2102.4,2094.6
"2015-08-18",2094.1,2107.1,2096.4,2102.5
"2015-08-19",2069.9,2101.1,2076.4,2096.5
"2015-08-20",2028.4,2080.9,2029.1,2076.5
"2015-08-21",1970.9,2031.6,1974.1,2029.2
"2015-08-24",1833.5,1965.9,1876.9,1964.6
"2015-08-25",1864.9,1952.1,1873.1,1877.1
"2015-08-26",1854.4,1946.4,1940.6,1873.5
"2015-08-27",1938.4,1993.9,1992.6,1940.2
"2015-08-28",1970.1,1995.4,1991.9,1992.4
"2015-08-31",1962.1,1989.5,1968.2,1989.5
"2015-09-01",1901.6,1969.1,1915.7,1968.3
"2015-09-02",1910.1,1951.6,1950.7,1915.2
"2015-09-03",1944.6,1976.1,1949.7,1951
"2015-09-04",1910.4,1952.2,1923.7,1949.5
"2015-09-07",1919.5,1945.9,1932.2,1919.6
"2015-09-08",1932.1,1970.5,1967.4,1935.7
"2015-09-09",1937.4,1993.7,1944.1,1967.2
"2015-09-10",1929.9,1968.4,1951.6,1943.9
"2015-09-11",1938.6,1963,1961.5,1950.5
"2015-09-14",1947.9,1975.4,1954.5,1963
"2015-09-15",1946.6,1984.2,1982,1954.3
"2015-09-16",1973.4,2000,1998.5,1981.8
"2015-09-17",1982.4,2021.2,1986.6,1998
"2015-09-18",1951.6,1993.2,1961.7,1986.8
"2015-09-21",1949.4,1979.7,1974.4,1961.9
"2015-09-22",1928.4,1975.6,1940.7,1974.6
"2015-09-23",1921.5,1952.5,1942.5,1940.8
"2015-09-24",1908.1,1947,1930.5,1942.7
"2015-09-25",1921.1,1961.2,1930,1930.3
"2015-09-28",1879.1,1939.7,1885,1925.2
"2015-09-29",1870.4,1899,1883.2,1884.8
"2015-09-30",1880.6,1919.7,1911.9,1883.4
"2015-10-01",1899.6,1938.5,1926.6,1912.1
"2015-10-02",1892.4,1953,1952.5,1926.8
"2015-10-05",1946.6,1989.6,1985,1950.2
"2015-10-06",1971.9,1992,1973.7,1984.8
"2015-10-07",1969.7,2000,1997.4,1973.1
"2015-10-08",1979.4,2017,2014,1997.1
"2015-10-09",2007.1,2022,2015.7,2014.1
"2015-10-12",2010.1,2022.1,2020.6,2013
"2015-10-13",1999.1,2022.5,2000.1,2019.9
"2015-10-14",1990.4,2009.5,1993,2000.1
"2015-10-15",1993.2,2027.1,2026.1,1993.2
"2015-10-16",2019.6,2033.4,2032.6,2025.7
"2015-10-19",2021.6,2035.1,2034.4,2031.6
"2015-10-20",2026.4,2039.1,2027.6,2033.1
"2015-10-21",2014.9,2041.1,2017.1,2027
"2015-10-22",2015.4,2062.4,2062.4,2017.3
"2015-10-23",2060.1,2080.9,2072.6,2065.2
"2016-03-28",2031.38,2048.87,2036.7,2040.25
"2016-03-29",2028.13,2058.12,2057.2,2036.5
"2016-03-30",2055.75,2073.12,2063.88,2057.25
"2016-03-31",2055.63,2067.87,2060.37,2063.38
"2016-04-01",2043.5,2075.37,2073.38,2060.5
"2016-04-04",2061.95,2079.13,2064.62,2072.25
"2016-04-05",2042.12,2063.13,2048.95,2062.37
"2016-04-06",2042.38,2067.63,2066.37,2049.38
"2016-04-07",2033.37,2069.12,2042.2,2066.8
"2016-04-08",2037.63,2061.37,2047.75,2040.37
"2016-04-11",2039.38,2063.62,2039.7,2048.12
"2016-04-12",2036.25,2065.12,2061.95,2039.25
"2016-04-13",2060.87,2083.62,2082.2,2062
"2016-04-14",2074.87,2087.87,2084.12,2082.5
"2016-04-15",2075.8,2086.12,2081,2083.87
"2016-04-18",2064.88,2094.87,2092.37,2070.62
"2016-04-19",2091.12,2104.62,2100.45,2091.5
"2016-04-20",2092,2111.37,2103.95,2100.37
"2016-04-21",2085.13,2110.12,2087.95,2103.87
"2016-04-22",2080.7,2094.63,2091.7,2085.5
"2016-04-25",2076.87,2096.87,2089.7,2096.12
"2016-04-26",2085.38,2096.87,2090,2089.87
"2016-04-27",2082.12,2099.87,2098.62,2087.12
"2016-04-28",2070.88,2100,2079.7,2098.12
"2016-04-29",2051.63,2081.87,2066.87,2078.75
"2016-05-02",2061.13,2083.12,2081.37,2066.5
"2016-05-03",2053.75,2081.87,2063.62,2081.12
"2016-05-04",2044.87,2065.87,2052.37,2063.37
"2016-05-05",2045.38,2065.62,2048.62,2052.12
"2016-05-06",2035.87,2058.62,2058.12,2048.87
"2016-05-09",2053.63,2065.12,2059.2,2058.38
"2016-05-10",2053.5,2085,2082.12,2059.13
"2016-05-11",2062.13,2082.87,2063.63,2081.62
"2016-05-12",2052.7,2076.87,2064.37,2063.38
"2016-05-13",2042.88,2067.62,2047.75,2063.75
"2016-05-16",2039.38,2072.12,2065.38,2045.38
"2016-05-17",2040.12,2072.37,2047.7,2064.37
"2016-05-18",2033.95,2060.87,2046.2,2047.12
"2016-05-19",2025.38,2047.75,2041.95,2047.13
"2016-05-20",2040.62,2058.62,2053.38,2042.05
"2016-05-23",2046.88,2059.12,2048.45,2056.5
"2016-05-24",2044.13,2079.88,2077.45,2048.38
"2016-05-25",2076.37,2094.83,2091.07,2077.75
"2016-05-26",2084.88,2094,2092.95,2091.2
"2016-05-27",2090.18,2099.93,2099.42,2092.87
"2016-05-30",2101.42,2105.67,2103.55,2101.68
"2016-05-31",2088.28,2104.68,2096.33,2103.67
"2016-06-01",2085.03,2100.77,2098.77,2095.83
"2016-06-02",2088.53,2106.03,2105.28,2098.52
"2016-06-03",2084.35,2107.53,2099.52,2105.02
"2016-06-06",2095.97,2113.87,2109.75,2099.78
"2016-06-07",2107.88,2119.12,2111.45,2109.83
"2016-06-08",2107.68,2120.67,2118.67,2111.37
"2016-06-09",2107.43,2119.42,2114.75,2118.8
"2016-06-10",2089.68,2114.93,2097.42,2114.93
"2016-06-13",2075.8,2098.3,2076,2091.8
"2016-06-14",2063.55,2081.8,2073.5,2076.3
"2016-06-15",2068.67,2086.37,2070.5,2072.8
"2016-06-16",2049.88,2079.88,2077.75,2070
"2016-06-17",2061.88,2083.37,2067.62,2077.62
"2016-06-20",2079.12,2101.12,2091.45,2079.5
"2016-06-21",2082.38,2094.13,2087.38,2087.62
"2016-06-22",2083.63,2099.62,2084.95,2087.5
"2016-06-23",2092.75,2121.37,2121.37,2094.87
"2016-06-24",2007.1,2127.63,2029.87,2124
"2016-06-27",1989.8,2030.62,1990.5,2018.87
"2016-06-28",1990.62,2038.37,2036.87,1990.62
"2016-06-29",2031.55,2083.25,2082.75,2037.25
"2016-06-30",2065.13,2100.12,2095.25,2081.5
"2016-07-01",2089.88,2108.88,2105,2095.37
"2016-07-04",2101.88,2112.37,2106.87,2107.5
"2016-07-05",2080.12,2107.12,2092,2107.05
"2016-07-06",2073.05,2101.5,2100.12,2091.5
"2016-07-07",2089.05,2109.12,2099.62,2098.95
"2016-07-08",2094.63,2132.12,2126.88,2099.37
"2016-07-11",2126.87,2143.37,2137.2,2127.13
"2016-07-12",2135.38,2155.88,2152.62,2137.37
"2016-07-13",2146.3,2158.87,2152.37,2152.25
"2016-07-14",2149.12,2174.25,2163.88,2151.75
"2016-07-15",2155.37,2170.87,2158.88,2162.75
"2016-07-18",2158.85,2169.5,2166.37,2161.62
"2016-07-19",2157.63,2167.12,2165.38,2166.12
"2016-07-20",2161.38,2175.87,2174.57,2165.25
"2016-07-21",2159.33,2176.07,2165.08,2174.07
"2016-07-22",2161.83,2175.08,2173.33,2164.82
"2016-07-25",2161.75,2178.32,2169.08,2173.33
"2016-07-26",2159.83,2173.82,2172.07,2168.33
"2016-07-27",2157.9,2175.08,2169.08,2171.95
"2016-07-28",2159.05,2173.62,2171.12,2168.58
"2016-07-29",2162.62,2177.13,2176,2170.87
"2016-08-01",2165.05,2182.87,2170.88,2178.3
"2016-08-02",2147.3,2176.13,2158.63,2171.13
"2016-08-03",2150.62,2163.37,2162.38,2158
"2016-08-04",2158.3,2168.3,2164.37,2162.05
"2016-08-05",2163.75,2182.62,2181.12,2163.87
"2016-08-08",2177.38,2187.12,2180.88,2181.37
"2016-08-09",2178.05,2187.62,2182.37,2179.88
"2016-08-10",2171.33,2184.83,2176.08,2180.57
"2016-08-11",2173.58,2188.57,2185.08,2175.4
"2016-08-12",2178.88,2187.13,2183.37,2185.38
"2016-08-15",2183.87,2193.92,2188.93,2184
"2016-08-16",2178.05,2188.88,2180.87,2188.8
"2016-08-17",2167.8,2184.12,2183.37,2180
"2016-08-18",2178.37,2186.87,2185.37,2183.12
"2016-08-19",2174.57,2186.38,2183.83,2185.8
"2016-08-22",2175.5,2186.32,2183.08,2184.08
"2016-08-23",2181.32,2193.4,2187.58,2182.45
"2016-08-24",2170.65,2189.59,2177.08,2187.2
"2016-08-25",2169.4,2179.07,2175.62,2176.33
"2016-08-26",2158.88,2188.12,2169.88,2175.2
"2016-08-29",2166.07,2183.57,2181.32,2166.38
"2016-08-30",2169.5,2182.39,2176.82,2180.52
"2016-08-31",2160.28,2176.77,2169.27,2176.7
"2016-09-01",2155.83,2178.07,2167.32,2169.52
"2016-09-02",2165.45,2184.77,2179.02,2167.95
"2016-09-05",2176.28,2183.27,2179.53,2180.27
"2016-09-06",2174.34,2186.92,2186.43,2179.25
"2016-09-07",2178.3,2187.4,2185.22,2185.78
"2016-09-08",2176.75,2190.07,2178.7,2185.2
"2016-09-09",2123.32,2179.08,2123.57,2177.57
"2016-09-12",2108,2163.57,2158.95,2122.9
"2016-09-13",2119.58,2157.2,2132.65,2154.95
"2016-09-14",2119.45,2141.57,2122.95,2131.65
"2016-09-15",2114.43,2150.92,2143.8,2122.7
"2016-09-16",2129.98,2142.87,2139.37,2142.63
"2016-09-19",2135.27,2154.27,2141.27,2139.25
"2016-09-20",2136.3,2150.63,2137.13,2141.45
"2016-09-21",2133.63,2164.63,2163.63,2137.88
"2016-09-22",2160.12,2179.87,2175.88,2163.12
"2016-09-23",2163.7,2176.83,2165.95,2175.63
"2016-09-26",2144.25,2167.07,2147.45,2163.82
"2016-09-27",2140.5,2161.32,2159.57,2147.08
"2016-09-28",2150.83,2172.32,2169.57,2159.45
"2016-09-29",2144.25,2173.82,2154.58,2169.32
"2016-09-30",2142.82,2175.32,2165.58,2151.5
"2016-10-03",2153.2,2170.45,2161.12,2165.95
"2016-10-04",2143.2,2166.73,2151.12,2160.7
"2016-10-05",2147.5,2164.55,2160.18,2150.55
"2016-10-06",2148.95,2163.4,2161.78,2160.05
"2016-10-07",2143.95,2167.52,2152.75,2162.03
"2016-10-10",2155.07,2170.07,2165.88,2158.9
"2016-10-11",2127.95,2167.25,2139.87,2165.7
"2016-10-12",2132,2146.87,2134.38,2139.3
"2016-10-13",2113.65,2138.42,2132.42,2134.05
"2016-10-14",2128.55,2149.84,2133.12,2132.34
"2016-10-17",2122.59,2136.05,2127.93,2134.25
"2016-10-18",2126.55,2145.68,2137.93,2128.55
"2016-10-19",2132.09,2148.09,2143.43,2137.34
"2016-10-20",2131.95,2149.52,2142.03,2142.5
"2016-10-21",2128.65,2144.22,2140.47,2141.95
"2016-10-24",2140.15,2154.72,2151.22,2142.22
"2016-10-25",2141.1,2155.48,2142.6,2150.65
"2016-10-26",2130.4,2146.1,2139.72,2140.47
"2016-10-27",2128.4,2149.55,2133.6,2139.22
"2016-10-28",2118.3,2141.1,2129.73,2133.15
"2017-03-27",2321.13,2347.9,2343.53,2339.15
