Date,Low,High,Close,Open
"2019-01-02 00:00:00",6276.1,6369.8,6290.4,6335.3
"2019-01-02 04:00:00",6237.5,6292.2,6251.5,6290.5
"2019-01-02 08:00:00",6137.9,6259.6,6169.8,6251.4
"2019-01-02 12:00:00",6166,6254,6246.3,6169.8
"2019-01-02 16:00:00",6226.1,6392.6,6390.5,6246.2
"2019-01-02 20:00:00",6234.1,6391.3,6245.4,6390.7
"2019-01-03 00:00:00",6190.7,6237.5,6216.8,6213.4
"2019-01-03 04:00:00",6171.6,6220.2,6193.3,6216.6
"2019-01-03 08:00:00",6172.6,6216.3,6182.5,6193.4
"2019-01-03 12:00:00",6176.7,6287.8,6235.5,6182.3
"2019-01-03 16:00:00",6153.4,6266.3,6169.9,6234.7
"2019-01-03 20:00:00",6131.2,6216.3,6155.3,6169.9
"2019-01-04 00:00:00",6121.2,6174.4,6173.5,6158.5
"2019-01-04 04:00:00",6170.5,6225.5,6221,6173.6
"2019-01-04 08:00:00",6215.2,6263.5,6261.2,6221.3
"2019-01-04 12:00:00",6211.9,6295.9,6292,6261.1
"2019-01-04 16:00:00",6265.4,6447.5,6424.1,6292.1
"2019-01-04 20:00:00",6393.2,6439.6,6417.1,6424.2
"2019-01-07 00:00:00",6425.6,6481.9,6441.1,6431.9
"2019-01-07 04:00:00",6421.6,6450.9,6439.3,6441.2
"2019-01-07 08:00:00",6400.8,6453.7,6411.9,6439.4
"2019-01-07 12:00:00",6389.6,6448.7,6430.6,6411.8
"2019-01-07 16:00:00",6412.7,6522.3,6495.7,6430.5
"2019-01-07 20:00:00",6456.9,6506.8,6491.7,6495.7
"2019-01-08 00:00:00",6477,6515.7,6509.5,6492.5
"2019-01-08 04:00:00",6489.3,6518.5,6505.3,6509.5
"2019-01-08 08:00:00",6490.7,6527.6,6525.5,6504.7
"2019-01-08 12:00:00",6518.2,6573.2,6529,6525.6
"2019-01-08 16:00:00",6454.4,6549.6,6543.1,6528.9
"2019-01-08 20:00:00",6530.8,6558.7,6538.5,6543
"2019-01-09 00:00:00",6536.7,6595.2,6587.1,6539.1
"2019-01-09 04:00:00",6561,6591.7,6563.9,6587
"2019-01-09 08:00:00",6548.5,6583.2,6572.5,6563.8
"2019-01-09 12:00:00",6552.5,6599.1,6592.8,6572.5
"2019-01-09 16:00:00",6546.3,6620.9,6608,6592.7
"2019-01-09 20:00:00",6578.3,6631,6589.8,6608.1
"2019-01-10 00:00:00",6540,6591,6550.3,6588.6
"2019-01-10 04:00:00",6546.7,6571.7,6551.5,6550.2
"2019-01-10 08:00:00",6527.4,6561.7,6545.4,6551.5
"2019-01-10 12:00:00",6514.2,6564,6526.2,6545.6
"2019-01-10 16:00:00",6523.2,6614.8,6575.4,6526.3
"2019-01-10 20:00:00",6574.7,6628.2,6613.9,6575.3
"2019-01-11 00:00:00",6591.7,6618.6,6599.1,6606
"2019-01-11 04:00:00",6592.5,6608.3,6607.8,6599.1
"2019-01-11 08:00:00",6593.3,6619.1,6602.2,6607.7
"2019-01-11 12:00:00",6559.4,6605.8,6575.3,6602.2
"2019-01-11 16:00:00",6559.6,6602.4,6577.2,6575.2
"2019-01-11 20:00:00",6571.2,6603.3,6601.1,6577.3
"2019-01-14 00:00:00",6532.7,6586,6538.5,6583.3
"2019-01-14 04:00:00",6522.3,6542.9,6530.1,6538.6
"2019-01-14 08:00:00",6514.4,6549.5,6520.3,6530.1
"2019-01-14 12:00:00",6510.1,6546.5,6521.2,6520.4
"2019-01-14 16:00:00",6515.7,6567.6,6557.4,6521.3
"2019-01-14 20:00:00",6528.6,6564,6535,6557.4
"2019-01-15 00:00:00",6528.7,6586,6576.2,6531.7
"2019-01-15 04:00:00",6574.5,6594.2,6586.5,6575.9
"2019-01-15 08:00:00",6552.3,6589.4,6565.7,6586.6
"2019-01-15 12:00:00",6549.6,6635.5,6632.4,6565.6
"2019-01-15 16:00:00",6619,6676.2,6665.8,6632.6
"2019-01-15 20:00:00",6616.9,6673.9,6666.2,6665.7
"2019-01-16 00:00:00",6649.5,6679,6672.7,6667.8
"2019-01-16 04:00:00",6665.2,6678.8,6671.1,6672.8
"2019-01-16 08:00:00",6660.4,6685.9,6663.4,6671
"2019-01-16 12:00:00",6658.4,6724.5,6710.2,6663.3
"2019-01-16 16:00:00",6663.8,6719.8,6677.4,6710.1
"2019-01-16 20:00:00",6650.6,6694.6,6659.3,6677.3
"2019-01-17 00:00:00",6626.5,6662.7,6643.8,6653.8
"2019-01-17 04:00:00",6613.7,6646.5,6617.3,6643.9
"2019-01-17 08:00:00",6600.5,6630.8,6629.1,6617.2
"2019-01-17 12:00:00",6620.6,6681.7,6676.9,6629.2
"2019-01-17 16:00:00",6659.6,6687.2,6679.7,6676.8
"2019-01-17 20:00:00",6672.2,6747.1,6717.4,6679.8
"2019-01-18 00:00:00",6699.3,6736.7,6730.1,6711.8
"2019-01-18 04:00:00",6719.7,6733.6,6727.6,6729.9
"2019-01-18 08:00:00",6716.5,6739.7,6725.3,6726.9
"2019-01-18 12:00:00",6722.1,6775.4,6738.2,6725.2
"2019-01-18 16:00:00",6724.6,6816.1,6794.2,6737.9
"2019-01-18 20:00:00",6759,6794.9,6793.2,6794.3
"2019-01-21 00:00:00",6745.1,6781.9,6765,6779.1
"2019-01-21 04:00:00",6750.9,6765.3,6759.6,6765.1
"2019-01-21 08:00:00",6736.6,6761.3,6751.9,6759.7
