Date,Low,High,Close,Open
"2015-04-20",4410.4,4417.6,4417.4,4411.6
"2015-04-21",4417.1,4450.8,4442.9,4417.1
"2015-04-22",4406.8,4467.8,4452.4,4443.1
"2015-04-23",4426.1,4505.5,4499.7,4452.1
"2015-04-24",4499.2,4544.9,4538.8,4499.4
"2015-04-27",4517,4564.2,4535,4541
"2015-04-28",4479.5,4539.9,4518.5,4534.8
"2015-04-29",4464.2,4522.5,4476.9,4518.8
"2015-04-30",4393.9,4485.9,4418.7,4476.7
"2015-05-01",4417.2,4479,4476.6,4418.4
"2015-05-04",4464.6,4511.8,4481.3,4472.1
"2015-05-05",4406.1,4487.5,4418.3,4481.6
"2015-05-06",4348.3,4430.8,4374.2,4418.6
"2015-05-07",4336.4,4414.1,4408.7,4373.9
"2015-05-08",4406.4,4467.4,4453.5,4408.4
"2015-05-11",4428,4469.2,4433.1,4454.8
"2015-05-12",4432.2,4442.3,4432.2,4433.4
"2015-05-13",4421,4462.4,4431.2,4432.5
"2015-05-14",4416.2,4497.4,4494.6,4431.5
"2015-05-15",4494.9,4511.8,4495.1,4494.9
"2015-05-18",4474,4522.1,4512.5,4491.2
"2015-05-19",4497.9,4529.6,4503.4,4512.2
"2015-05-20",4484.9,4537,4493.9,4503.1
"2015-05-21",4490.4,4539.8,4531.4,4494.1
"2015-05-22",4524.9,4545.5,4530.6,4531.9
"2015-05-25",4520.4,4540.1,4528.9,4531.4
"2015-05-26",4457.4,4531.5,4479.3,4528.6
"2015-05-27",4475.1,4554,4544.1,4479.6
"2015-05-28",4523.6,4550.3,4543.9,4543.9
"2015-05-29",4499.1,4547.9,4518.9,4544.1
"2015-06-01",4487.6,4540.2,4527.6,4519.1
"2015-06-02",4482.3,4533.7,4507.8,4527.8
"2015-06-03",4503.6,4542.7,4528.3,4507.6
"2015-06-04",4474.1,4528.1,4496.1,4528.1
"2015-06-05",4450.6,4508,4483.1,4495.8
"2015-06-08",4422.9,4482.9,4438.2,4481.7
"2015-06-09",4390.7,4442.7,4434.1,4437.9
"2015-06-10",4430.3,4499.2,4484.5,4434.3
"2015-06-11",4480.2,4512.9,4487.4,4484.2
"2015-06-12",4447.4,4488.6,4455.6,4487.1
"2015-06-15",4393.6,4445,4431.9,4436.4
"2015-06-16",4402.4,4464.3,4459.6,4432.1
"2015-06-17",4439.1,4483.6,4461.8,4459.3
"2015-06-18",4447.3,4543,4535.5,4461.1
"2015-06-19",4501.6,4547.9,4511.6,4535.3
"2015-06-22",4522.5,4560.4,4547.5,4525
"2015-06-23",4530,4556.5,4551.4,4547.8
"2015-06-24",4517.5,4563.3,4529.6,4551.1
"2015-06-25",4507.6,4555.8,4515.2,4529.9
"2015-06-26",4466.7,4524.8,4489.4,4515.4
"2015-06-29",4376.4,4459.3,4393.2,4419.4
"2015-06-30",4379.7,4420.6,4402.7,4393.4
"2015-07-01",4400.7,4450.3,4429.2,4400.9
"2015-07-02",4415.9,4450.1,4435.4,4428.9
"2015-07-03",4419.7,4444.2,4424.7,4435.2
"2015-07-06",4366,4445.5,4437.9,4374.2
"2015-07-07",4342.3,4456.8,4421.7,4437.7
"2015-07-08",4344.6,4422.4,4366.1,4421.4
"2015-07-09",4339.9,4417.1,4380.3,4366.3
"2015-07-10",4371.3,4435.9,4419.3,4380.6
"2015-07-13",4396.8,4500.8,4496.7,4401.3
"2015-07-14",4494.9,4538.9,4525,4496.9
"2015-07-15",4517.8,4552,4549,4524.8
"2015-07-16",4546.3,4627.1,4624.6,4548.8
"2015-07-17",4615.6,4662.5,4660.3,4624.9
"2015-07-20",4657,4694.8,4680.8,4660.8
"2015-07-21",4619.3,4692.2,4624.1,4680.6
"2015-07-22",4597.5,4646.6,4635.1,4624.3
"2015-07-23",4634.8,4644.1,4636.8,4634.8
"2015-07-24",4553.2,4648.5,4572.3,4637.1
"2015-07-27",4512.4,4577.3,4530.7,4569.6
"2015-07-28",4505.7,4571,4566.9,4530.4
"2015-07-29",4552.6,4588.8,4569.9,4567.4
"2015-07-30",4539.2,4607.8,4597.9,4570.2
