Date,Low,High,Close,Open
"2016-01-03",118.703,120.465,119.297,119.736
"2016-01-04",118.794,119.701,118.984,119.416
"2016-01-05",118.251,119.162,118.524,119.112
"2016-01-06",117.33,118.756,117.527,118.625
"2016-01-07",117.224,118.87,117.586,117.532
"2016-01-10",117.013,118.026,117.789,117.327
"2016-01-11",117.228,118.072,117.498,117.599
"2016-01-12",117.372,118.381,118.086,117.835
"2016-01-13",117.293,118.281,117.916,117.419
"2016-01-14",116.511,118.263,117.023,117.958
"2016-01-17",116.925,117.444,117.323,117.244
"2016-01-18",117.234,118.114,117.565,117.565
"2016-01-19",115.972,117.567,116.597,117.566
"2016-01-20",116.472,117.938,117.834,117.198
"2016-01-21",117.541,118.879,118.766,117.93
"2016-01-24",118.173,118.858,118.42,118.604
"2016-01-25",117.652,118.624,118.369,118.141
"2016-01-26",118.042,119.075,118.826,118.389
"2016-01-27",118.415,118.993,118.807,118.482
"2016-01-28",118.432,121.693,120.716,118.93
"2016-01-31",120.678,121.442,121.132,121.213
"2016-02-01",119.682,121.014,120.688,120.855
"2016-02-02",117.055,120.045,119.452,119.85
"2016-02-03",116.525,118.214,117.223,118.169
"2016-02-04",116.277,117.432,116.895,116.857
"2016-02-07",115.174,117.525,115.516,117.111
"2016-02-08",114.206,115.67,114.693,115.67
"2016-02-09",113.118,115.222,113.363,115.187
"2016-02-10",110.979,113.491,112.495,113.24
"2016-02-11",111.65,113.54,113.246,112.493
"2016-02-14",113.272,114.73,114.563,113.644
"2016-02-15",113.593,114.876,114.629,114.629
"2016-02-16",113.373,114.506,114.329,114.138
"2016-02-17",113.144,114.321,113.814,114.296
"2016-02-18",112.308,113.297,112.836,113.256
"2016-02-21",112.512,113.388,113.08,112.936
"2016-02-22",111.772,113,112.476,112.475
"2016-02-23",111.042,112.268,111.651,111.912
"2016-02-24",111.982,113.167,112.622,112.069
"2016-02-25",112.56,113.997,113.882,113.145
"2016-02-28",112.193,113.858,112.388,113.375
"2016-02-29",112.156,114.185,113.782,112.414
"2016-03-01",113.216,114.557,114.14,113.916
"2016-03-02",113.296,114.271,113.908,113.491
"2016-03-03",113.118,114.259,113.966,113.693
"2016-03-06",113.225,113.861,113.7,113.7
"2016-03-07",112.423,113.516,112.908,112.908
"2016-03-08",112.225,113.455,113.393,112.694
"2016-03-09",112.604,114.447,113.072,113.232
"2016-03-10",112.755,113.919,113.711,112.852
"2016-03-13",113.508,114.008,113.601,113.922
"2016-03-14",112.631,114.154,113.111,113.726
"2016-03-15",112.33,113.82,113.735,113.105
"2016-03-16",110.67,112.958,111.409,112.797
"2016-03-17",110.823,111.759,111.312,111.366
"2016-03-20",111.219,112.177,111.256,111.326
"2016-03-21",111.377,112.493,111.979,112.147
"2016-03-22",112.142,112.908,112.708,112.254
"2016-03-23",112.294,113.009,112.545,112.427
"2016-03-24",112.812,113.323,113.089,112.838
"2016-03-27",113.151,113.687,113.644,113.644
"2016-03-28",112.612,113.805,112.75,113.373
"2016-03-29",112.015,112.701,112.5,112.679
"2016-03-30",112.11,112.667,112.546,112.442
"2016-03-31",111.59,112.529,111.646,112.519
"2016-04-03",111.097,111.742,111.496,111.496
