Date,Low,High,Close,Open
"2016-01-03",3.9241,3.98944,3.97229,3.9264
"2016-01-04",3.96624,4.01985,4.00625,3.97224
"2016-01-05",3.99849,4.0515,4.037,4.0062
"2016-01-06",3.97154,4.03835,3.97799,4.03695
"2016-01-07",3.97661,4.02474,3.9924,3.97799
"2016-01-10",3.98724,4.0219,4.00894,3.98829
"2016-01-11",3.99709,4.03084,4.01734,4.00894
"2016-01-12",3.99454,4.0314,3.99984,4.01734
"2016-01-13",3.98745,4.04926,4.04724,3.99984
"2016-01-14",4.0141,4.11544,4.10754,4.04724
"2016-01-17",4.08684,4.1277,4.09625,4.1073
"2016-01-18",4.06249,4.10214,4.07799,4.09625
"2016-01-19",4.06212,4.13505,4.13339,4.07799
"2016-01-20",4.10789,4.1524,4.13754,4.1342
"2016-01-21",4.09949,4.14765,4.12699,4.13745
"2016-01-24",4.11415,4.13524,4.1249,4.13185
"2016-01-25",4.0915,4.15635,4.09555,4.1249
"2016-01-26",4.09374,4.12465,4.1061,4.09549
"2016-01-27",4.06775,4.119,4.07694,4.10614
"2016-01-28",4.0576,4.0952,4.07924,4.07699
"2016-01-31",4.02816,4.08459,4.03439,4.08404
"2016-02-01",4.0107,4.0434,4.0397,4.03439
"2016-02-02",3.97109,4.04049,3.98379,4.03975
"2016-02-03",3.93414,3.99161,3.95009,3.98385
"2016-02-04",3.921,3.96955,3.95361,3.95004
"2016-02-07",3.9381,4.00179,3.9772,3.95805
"2016-02-08",3.92365,3.99049,3.93519,3.97825
"2016-02-09",3.9005,3.965,3.90515,3.93524
"2016-02-10",3.8876,3.93959,3.9088,3.9052
"2016-02-11",3.9025,3.92984,3.90608,3.9088
"2016-02-14",3.9121,3.95459,3.93308,3.92159
"2016-02-15",3.93089,3.96348,3.95704,3.93308
"2016-02-16",3.9383,3.96039,3.95644,3.95704
"2016-02-17",3.9336,3.96284,3.9561,3.95539
"2016-02-18",3.92479,3.95819,3.92825,3.9561
"2016-02-21",3.93075,3.9689,3.95284,3.93134
"2016-02-22",3.94725,3.97975,3.97424,3.95284
"2016-02-23",3.9643,3.995,3.96939,3.97424
"2016-02-24",3.94484,3.9742,3.95099,3.96934
"2016-02-25",3.93614,4.00265,4.00083,3.95099
"2016-02-28",3.98354,4.0058,3.99619,3.9959
"2016-02-29",3.97944,4.00489,3.98205,3.99644
"2016-03-01",3.97124,4.00489,3.97424,3.98234
"2016-03-02",3.95589,4,3.9641,3.97424
"2016-03-03",3.9211,3.96749,3.9254,3.96425
"2016-03-06",3.93109,3.95965,3.9325,3.93329
"2016-03-07",3.91034,3.9394,3.93009,3.9324
"2016-03-08",3.91189,3.94264,3.93069,3.93005
"2016-03-09",3.86979,3.96665,3.8762,3.93054
"2016-03-10",3.83449,3.89374,3.8518,3.87639
"2016-03-13",3.84512,3.8629,3.85475,3.8472
"2016-03-14",3.85095,3.87575,3.86185,3.8548
"2016-03-15",3.81879,3.89293,3.82365,3.8618
"2016-03-16",3.76604,3.83424,3.77925,3.8233
"2016-03-17",3.77014,3.79575,3.78393,3.779
"2016-03-20",3.77406,3.79393,3.79165,3.78184
"2016-03-21",3.7818,3.8154,3.79324,3.79155
"2016-03-22",3.79304,3.82029,3.8141,3.79324
"2016-03-23",3.8082,3.84109,3.82359,3.81414
"2016-03-24",3.81274,3.82829,3.81692,3.82359
"2016-03-27",3.7856,3.82089,3.79519,3.8194
"2016-03-28",3.75685,3.80606,3.76225,3.79519
"2016-03-29",3.74344,3.7831,3.77009,3.76225
"2016-03-30",3.71819,3.78235,3.728,3.77009
"2016-03-31",3.70509,3.74082,3.73153,3.72804
"2016-04-03",3.71489,3.73825,3.72455,3.72969
"2016-04-04",3.72054,3.75564,3.74709,3.72455
"2016-04-05",3.73275,3.76708,3.74449,3.7472
"2016-04-06",3.72579,3.78769,3.77995,3.74444
"2016-04-07",3.75804,3.784,3.76918,3.77995
"2016-04-10",3.73124,3.76995,3.74799,3.7674
"2016-04-11",3.7387,3.78439,3.76814,3.74799
"2016-04-12",3.76284,3.80795,3.80175,3.76814
"2016-04-13",3.8014,3.8356,3.81655,3.8018
"2016-04-14",3.7949,3.82379,3.80661,3.81659
"2016-04-17",3.798,3.8127,3.80949,3.80174
"2016-04-18",3.77359,3.8111,3.78409,3.80949
"2016-04-19",3.7644,3.78845,3.77999,3.78429
"2016-04-20",3.77919,3.83585,3.82965,3.77999
"2016-04-21",3.82114,3.89804,3.8863,3.82959
"2016-04-24",3.87929,3.92999,3.91449,3.88609
"2016-04-25",3.85434,3.92174,3.8732,3.9146
"2016-04-26",3.86105,3.90412,3.87149,3.87329
"2016-04-27",3.85549,3.88785,3.87244,3.87139
"2016-04-28",3.81244,3.8768,3.8176,3.87255
"2016-05-01",3.7985,3.8223,3.8028,3.81792
"2016-05-02",3.76884,3.82684,3.82144,3.80289
"2016-05-03",3.8108,3.84078,3.8299,3.82144
"2016-05-04",3.82164,3.88684,3.86489,3.82994
"2016-05-05",3.85479,3.89339,3.88558,3.86485
"2016-05-08",3.86475,3.89555,3.89425,3.89145
"2016-05-09",3.87209,3.89749,3.88464,3.8939
"2016-05-10",3.864,3.89004,3.87399,3.8846
"2016-05-11",3.8643,3.88839,3.87979,3.87424
"2016-05-12",3.86849,3.90904,3.90033,3.8797
"2016-05-15",3.84364,3.87964,3.8636,3.87409
"2016-05-16",3.84469,3.86625,3.86405,3.8636
"2016-05-17",3.8629,3.92575,3.92219,3.86409
"2016-05-18",3.9135,3.94125,3.93869,3.92214
"2016-05-19",3.92755,3.94995,3.93748,3.93875
"2016-05-22",3.92759,3.97404,3.96329,3.93519
"2016-05-23",3.95941,3.98749,3.97325,3.96319
"2016-05-24",3.94394,3.97645,3.95089,3.9736
"2016-05-25",3.93094,3.95474,3.93584,3.95105
"2016-05-26",3.924,3.9491,3.94687,3.93589
"2016-05-29",3.94209,3.96,3.9429,3.95145
"2016-05-30",3.92095,3.96,3.94174,3.94284
"2016-05-31",3.91779,3.9499,3.91949,3.94219
"2016-06-01",3.9127,3.93515,3.9315,3.91955
"2016-06-02",3.85675,3.94249,3.86182,3.9315
"2016-06-05",3.82535,3.8782,3.83399,3.86575
"2016-06-06",3.81509,3.83945,3.83385,3.8341
"2016-06-07",3.7832,3.8342,3.78945,3.83385
"2016-06-08",3.7855,3.83509,3.83245,3.78939
"2016-06-09",3.83179,3.89221,3.89221,3.8324
"2016-06-12",3.87744,3.91569,3.91085,3.88785
"2016-06-13",3.90398,3.96635,3.95425,3.91074
"2016-06-14",3.91459,3.96455,3.9312,3.95425
"2016-06-15",3.9198,4.00045,3.92732,3.93114
"2016-06-16",3.90875,3.95445,3.91358,3.92732
"2016-06-19",3.86315,3.89284,3.87635,3.88514
"2016-06-20",3.86094,3.92599,3.9089,3.87635
"2016-06-21",3.85264,3.91785,3.85839,3.9088
"2016-06-22",3.79949,3.8849,3.86399,3.85834
"2016-06-23",3.8629,4.1332,4.01837,3.86399
"2016-06-26",4.00144,4.07069,4.05069,4.0438
"2016-06-27",3.98075,4.05085,3.99635,4.05069
"2016-06-28",3.96591,4.01045,3.9715,3.99635
"2016-06-29",3.9343,3.9997,3.94179,3.97119
"2016-06-30",3.93775,3.96995,3.96389,3.94249
"2016-07-03",3.95135,3.99349,3.98084,3.9635
"2016-07-04",3.9765,4.02464,4.0131,3.98079
"2016-07-05",3.99189,4.03394,4.00029,4.01329
"2016-07-06",3.98902,4.01419,4.0023,4.00029
"2016-07-07",3.97549,4.02309,3.9938,4.00209
"2016-07-10",3.98759,4.01641,4.00515,3.9938
"2016-07-11",3.97175,4.007,3.97679,4.00515
"2016-07-12",3.96285,3.99035,3.96994,3.97679
"2016-07-13",3.95095,3.9763,3.9701,3.96994
"2016-07-14",3.955,4.01874,4.00763,3.9701
"2016-07-17",3.94459,4.00235,3.94934,4.00085
"2016-07-18",3.94535,3.9865,3.9785,3.94934
"2016-07-19",3.96259,3.99128,3.96725,3.97834
