Date,Low,High,Close,Open
"2020-01-02",3236.51,3250.04,3239.61,3244.67
"2020-01-02",3236.74,3243.53,3241.72,3239.69
"2020-01-02",3235.53,3242.63,3241.45,3241.72
"2020-01-02",3240.18,3244.13,3240.67,3241.4
"2020-01-02",3239.56,3245.74,3245.39,3240.68
"2020-01-02",3244.85,3249.15,3248.71,3245.36
"2020-01-02",3248.3,3258.14,3257.85,3248.73
"2020-01-03",3222.34,3239.25,3237.65,3226.36
"2020-01-03",3231.2,3240.44,3235.97,3237.68
"2020-01-03",3235.72,3245.59,3243.22,3236
"2020-01-03",3241.99,3246.15,3244.02,3243.02
"2020-01-03",3233.69,3244.17,3237.97,3243.94
"2020-01-03",3237.49,3245.06,3238.32,3237.98
"2020-01-03",3234.35,3240.22,3234.85,3238.3
"2020-01-06",3214.64,3230.89,3230.73,3217.55
"2020-01-06",3228.82,3235.01,3232.8,3230.73
"2020-01-06",3231.56,3235.32,3232.9,3232.77
"2020-01-06",3232.66,3238.02,3238.02,3232.91
"2020-01-06",3236.04,3241.67,3240.22,3238.04
"2020-01-06",3238.93,3242.34,3240.54,3240.22
"2020-01-06",3239.04,3246.84,3246.28,3240.54
"2020-01-07",3232.43,3242.67,3238.68,3241.86
"2020-01-07",3234.51,3244.91,3243.8,3238.82
"2020-01-07",3236.67,3244.05,3239.35,3243.87
"2020-01-07",3237.04,3240.9,3239.94,3239.34
"2020-01-07",3235.98,3241,3237.95,3239.92
"2020-01-07",3236.64,3242.71,3242.2,3237.96
"2020-01-07",3236.11,3242.25,3237.18,3242.18
"2020-01-08",3236.67,3249.05,3243.49,3238.59
"2020-01-08",3238.35,3251.02,3249.99,3243.5
"2020-01-08",3244.45,3261.3,3259.13,3249.83
"2020-01-08",3255.68,3259.74,3257.5,3259.13
"2020-01-08",3255.2,3259.2,3258.05,3257.52
"2020-01-08",3257.17,3267.07,3266.52,3258.03
"2020-01-08",3251.95,3266.83,3253.05,3266.53
"2020-01-09",3265.45,3272.53,3270.33,3266.03
"2020-01-09",3269.76,3273.9,3270.7,3270.33
"2020-01-09",3268.39,3274.57,3269.19,3270.7
"2020-01-09",3263.67,3269.78,3269.38,3269.18
